FID_Global,OBJECTID,SITRECID,REGION,COUNTRY,ISO3,NATNAME,INTNAME,FINCODE,SITLAT,SITLONG,IBASTATUS,KBASTATUS,AZESTATUS,SITAREA,PROTECT,NO_PA,SOURCE,DELTXT,DELGEOM,CREATEDBY,ADDEDBY,ADDEDDATE,CHANGEBY,CHANGEDATE,TRIGGERS,FID_strong,OBJECTID_1,SCAPENAME,PROGRAM,COUNTRY_1,Name,Reason,sq_km
9525,0,24763,South America,Chile,CHL,Parque Nacional Vicente P├®rez Rosales,Parque Nacional Vicente P├®rez Rosales,CL072,-41.1050744695,-72.1390393035,confirmed,,,250093,whole,2,WDPA - 2010,,3. draft polygon,BirdLife International,,07/08/10,,,endemic,116,0,,,,,,2454
9528,0,24794,South America,Chile,CHL,Bah├¡a Lomas,Bah├¡a Lomas,CL102,-52.6233250677,-69.108479444,confirmed,,,27672,whole,1,Google Earth - ┬┐taller?,,3. draft polygon,BirdLife International,,07/07/10,,,migratory birds/congregations,116,0,,,,,,277
9529,0,24795,South America,Chile,CHL,Parque Nacional Isla Magdalena,Isla Magdalena National Park,CL103,-52.9134921047,-70.577300878,confirmed,,,85,whole,2,WDPA - 2010,Son dos pol├¡gonos.,3. draft polygon,BirdLife International,,07/08/10,,,migratory birds/congregations,116,0,,,,,,1
9530,0,24803,South America,Chile,CHL,Monumento Natural Laguna de los Cisnes,Monumento Natural Laguna de los Cisnes,CL105,-53.2367140847,-70.3625957083,confirmed,,,2494,most,1,WDPA - 2010,,3. draft polygon,BirdLife International,,07/08/10,,,"CR/EN, endemic, migratory birds/congregations",116,0,,,,,,25
9531,0,24807,South America,Chile,CHL,Parque Nacional Cabo de Hornos,Parque Nacional Cabo de Hornos,CL113,-55.7492652003,-67.4781775304,confirmed,,,62601,whole,2,WDPA - 2010,,3. draft polygon,BirdLife International,,07/08/10,,,endemic,116,0,,,,,,626
9536,0,26911,South America,Chile,CHL,Laguna Malleco,Laguna Malleco,,-38.1359592328,-71.7788653786,confirmed,,,16521,whole,2,WDPA - 2010,Reserva Nacional; no s├® si es este sitio.,3. draft polygon,BirdLife International,,07/08/10,,,endemic,116,0,,,,,,148
9537,0,27319,South America,Chile,CHL,Laguna Pollolla,Pollolla Lagoon,,-46.2800241856,-71.736201933,confirmed,,,120,little/none,0,Google Earth - Coyhaique 2009,"Pol├¡gono entra en Argentina, corregir.",3. draft polygon,BirdLife International,,07/07/10,,,other,116,0,,,,,,1
9538,0,27321,South America,Chile,CHL,Valle del Estero el Salto,Estero del Salto Valley,,-45.4607313691,-72.7484015911,confirmed,,,340,little/none,0,Google Earth - Coyhaique 2009,,3. draft polygon,BirdLife International,,07/07/10,,,"endemic, other",116,0,,,,,,3
9539,0,27322,South America,Chile,CHL,Humedales del R├¡o Baker,Baker River Wetlands,,-47.3232280052,-72.8460266703,confirmed,,,22542,little/none,0,Google Earth - Coyhaique 2009,,3. draft polygon,BirdLife International,,07/07/10,,,"VU, migratory birds/congregations",116,0,,,,,,224
9540,0,27323,South America,Chile,CHL,Valle de Chacabuco y Entrada Baker,Chacabuco Valley and Baker River Entrance,,-47.1217411731,-72.2912580823,confirmed,,,90906,most,1,Google Earth - Coyhaique 2009,En el nombre del pol├¡gono no dec├¡a nada de Entrada Baker,3. draft polygon,BirdLife International,,07/07/10,,,VU,116,0,,,,,,909
9541,0,27324,South America,Chile,CHL,Islas Quinchele y Mar adyacente,Quinchele Inland and surrouding sea,,-44.2920355159,-73.4162269049,confirmed,,,78812,little/none,0,Google Earth - ┬┐taller?,,3. draft polygon,BirdLife International,,07/07/10,,,other,116,0,,,,,,788
9542,0,27325,South America,Chile,CHL,Valle del R├¡o Iba├▒ez,Iba├▒ez River Valley,,-46.1657686766,-72.1509529654,confirmed,,,55589,some,1,Google Earth - Coyhaique 2009,,3. draft polygon,BirdLife International,,07/07/10,,,"endemic, other",116,0,,,,,,556
9543,0,27326,South America,Chile,CHL,Coyahique Alto-Coite,Coyahique Alto-Coite,,-45.3248880841,-71.6350655787,confirmed,,,162548,little/none,2,Google Earth - ┬┐taller?,Posible sitio binacional - ver IBA argentina; recortar pol├¡gono con borde de pa├¡s. Clipped to international border as an interim measure.,3. draft polygon,BirdLife International,,07/07/10,,03/10/17,VU,116,0,,,,,,1625
9544,0,27327,South America,Chile,CHL,La Tapera,La Tapera,,-44.6458510429,-71.7068399798,confirmed,,,1035,little/none,0,Google Earth - Coyhaique 2009,,3. draft polygon,BirdLife International,,07/07/10,,,"endemic, other",116,0,,,,,,10
9545,0,27328,South America,Chile,CHL,Nacimiento del R├¡o Huemules,Source of Huemules River,,-45.8935481515,-71.7084842425,confirmed,,,918,little/none,0,Google Earth - Coyhaique 2009,,3. draft polygon,BirdLife International,,07/07/10,,,other,116,0,,,,,,9
9563,0,27446,South America,Chile,CHL,Parque Nacional Hornopir├®n,Parque Nacional Hornopir├®n,,-41.9060859114,-72.2879533304,confirmed,,,48366,most,1,Google Earth - ┬┐taller?,Revisar si existe pol├¡gono en WDPA,3. draft polygon,BirdLife International,,07/07/10,,,VU,116,0,,,,,,484
9565,0,27451,South America,Chile,CHL,Fiordo Pitipalena,Fiordo Pitipalena,,-43.7868158555,-72.9914371184,confirmed,,,15004,most,1,Google Earth - Coyhaique 2009,,3. draft polygon,BirdLife International,,07/07/10,,,other,116,0,,,,,,150
9577,0,24779,South America,Chile,CHL,Parque Pumalin,Parque Pumalin,CL090,-42.6476801247,-72.3728159138,confirmed,,,218146,whole,3,Extracted from Protected Area GIS layers provided by Partner in January 2013,,3. draft polygon,"Gill Bunting, BirdLife International",,01/21/13,,,endemic,116,0,,,,,,2127
9582,0,24730,South America,Chile,CHL,Santuario de la Naturaleza Yerba Loca,Santuario de la Naturaleza Yerba Loca,CL039,-33.3553203631,-70.2960768427,confirmed,,,43874,whole,1,Extracted from Protected Area GIS layers provided by Partner in January 2013,,3. draft polygon,"Gill Bunting, BirdLife International",,01/22/13,,,"VU, endemic",116,0,,,,,,413
