OBJECTID,SCAPENAME,PROGRAM,COUNTRY,TYPE,Region,WCS_SH,Reason,sq_km,sq_mile
1,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Greater Virunga,Central Africa,1,,21367,8250
2,Greater Salonga,Africa,DRC,Salonga,Central Africa,0,,114551,44228
3,Greater Mbam Djerem,Africa,Cameroon,Mbam-Mpim-Dengdeng,Central Africa,1,,37708,14559
4,West Central Africa Rainforest,Africa,Congo,Conkouati,Central Africa,1,,5442,2101
5,Northwest DRC Rainforest,Africa,DRC,Maringa-Lopori,Central Africa,0,,90329,34876
6,Greater Cross River,Africa,"Cameroon, Nigeria",Cross River-Takamanda,Central Africa,1,,23992,9263
7,Greater Chinko/Garamba/Southern,Africa,DRC,Bili-Uere,Central Africa,0,,148189,57216
8,Greater Upemba,Africa,DRC,Upemba-Kundelungu,Central Africa,0,,20935,8083
9,Greater Chinko/Garamba/Southern,Africa,DRC,Garamba,Central Africa,0,,14906,5755
10,West Central Africa Rainforest,Africa,Multiple,Atlantic Coast,Central Africa,1,,55098,21274
11,Oku-Kahuzi-Kabobo,Africa,DRC,Eastern DRC,Central Africa,1,,198110,76491
12,East Central Africa Rainforest,Africa,DRC,Lomami-Tshuapa,Central Africa,0,,36595,14129
13,West Central Africa Rainforest,Africa,Multiple,Guineo-Congolian inland forests,Central Africa,1,,429655,165891
14,Guinea-Congo-Sudanian Transition,Africa,Multiple,Guinea-Congo-Sudanian transition,Central Africa,1,,63528,24528
15,,,Canada,,Boreal,0,,975402,376605
16,,,Canada,,Boreal,0,,903377,348796
17,,,Canada,,Boreal,1,,872879,337021
18,,,Canada,,Boreal,1,,1189981,459454
22,,,Panam├í y Colombia,Choc├│-Dari├®n,AAO,1,,81530,31479
23,,,Colombia,Central Andes,AAO,1,,106990,41309
24,,,Colombia,Orinoqu├¡a,AAO,1,,115259,44502
30,,,Colombia y Ecuador,South-Choc├│,AAO,0,,54242,20943
