FID_wwf_bi,BIOME,biome2,name,area,FID_strong,OBJECTID,SCAPENAME,PROGRAM,COUNTRY,TYPE,INTACTWILD,HIGHIMPORT,Name_1,Region,WCS_SH,Reason,sq_km
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,0,1,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Terrestrial,6,Y,Greater Virunga,Central Africa,1,,13222
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,1,2,Greater Salonga,Africa,DRC,Terrestrial,5,Y,Salonga,Central Africa,0,,114211
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,2,3,Greater Mbam Djerem,Africa,Cameroon,Terrestrial,7,Y,Mbam-Mpim-Dengdeng,Central Africa,1,,15678
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,3,4,West Central Africa Rainforest,Africa,Congo,Terrestrial,6,Y,Conkouati,Central Africa,1,,125
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,4,5,Northwest DRC Rainforest,Africa,DRC,Terrestrial,4,N,Maringa-Lopori,Central Africa,0,,90329
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,5,6,Greater Cross River,Africa,"Cameroon, Nigeria",Terrestrial,4,N,Cross River-Takamanda,Central Africa,1,,23675
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,6,7,Greater Chinko/Garamba/Southern,Africa,DRC,Terrestrial,4,N,Bili-Uere,Central Africa,0,,6
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,8,9,Greater Chinko/Garamba/Southern,Africa,DRC,Terrestrial,8,Y,Garamba,Central Africa,0,,0
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,9,10,West Central Africa Rainforest,Africa,Multiple,Terrestrial,6,Y,Atlantic Coast,Central Africa,1,,42161
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,10,11,Oku-Kahuzi-Kabobo,Africa,DRC,Terrestrial,5,Y,Eastern DRC,Central Africa,1,,158614
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,11,12,East Central Africa Rainforest,Africa,DRC,Terrestrial,6,Y,Lomami-Tshuapa,Central Africa,0,,32989
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,12,13,West Central Africa Rainforest,Africa,Multiple,Terrestrial,6,y,Guineo-Congolian inland forests,Central Africa,1,,389675
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,13,14,Guinea-Congo-Sudanian Transition,Africa,Multiple,Terrestrial,5,Y,Guinea-Congo-Sudanian transition,Central Africa,1,,4766
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,18,22,,,Panam├í y Colombia,,0,,Choc├│-Dari├®n,AAO,1,,54600
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,19,23,,,Colombia,,0,,Central Andes,AAO,1,,91517
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,20,24,,,Colombia,,0,,Orinoqu├¡a,AAO,1,,355
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,21,30,,,Colombia y Ecuador,,0,,South-Choc├│,AAO,0,,48802
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,22,31,,,Colombia,,0,,Sierra Nevada de Santa Marta,AAO,0,,4764
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,23,32,,,Colombia y Venezuela,,0,,Perij├í,AAO,0,,17034
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,24,33,,,Colombia,,0,,Macarena - Tinig├╝a,AAO,0,,23486
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,27,41,Savannas of the Eastern Sahel,,South Sudan y Ethiopia,,0,,Boma-Jonglei-Equatoria - Gambella-Omo,Sudano-Sahel,1,,21485
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,28,42,Greater Chinko/Garamba/Southern,,Congo y Central African Republic,,0,,Bili-Uere - Zemongo,Sudano-Sahel,0,,8094
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,29,43,Greater Chinko/Garamba/Southern,,South Sudan y Congo,,0,,Southern-Lantoto - Garamba,Sudano-Sahel,0,,0
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,31,49,,,Dominican Republic,,0,,Hispanola,Mesoamerica,0,,6882
