FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
0,18474,18474000000,0,362,362,37.3334957237,33.093537436,689699,252,7,161,30
1,114560,114560000000,23,657,634,300.390206006,151.645709305,34412702,635,199,49,310
2,37707,37707000000,1,428,427,207.569337258,80.4527679834,7826817,428,42,3,224
3,5413,5413000000,34,618,584,343.818584888,112.033108057,1861090,489,446,34,376
4,90347,90347000000,15,299,284,218.966628665,72.3179348235,19782978,281,299,53,243
5,23993,23993000000,1,183,182,71.6805735006,39.182322064,1719832,178,18,1,68
6,148191,148191000000,3,657,654,247.945523007,149.694180699,36743295,655,296,3,231
7,20942,20942000000,13,292,279,165.282733263,63.1732548986,3461351,276,198,13,172
8,14910,14910000000,6,409,403,196.789268947,107.822056342,2934128,397,62,6,178
9,49597,49597000000,0,939,939,339.902352965,225.078106181,16858137,936,148,891,328
10,191407,191407000000,0,667,667,190.346481581,143.445861973,36433649,668,40,667,156
11,36599,36599000000,11,446,435,271.437389,101.569244004,9934337,421,299,52,288
12,429669,429669000000,0,998,998,445.298639185,189.994402487,191331021,998,669,3,450
13,63529,63529000000,1,445,444,209.013851942,122.683329828,13278441,445,4,406,226
14,945759,945759000000,0,1000,1000,952.191142775,131.310498385,900543343,1001,1000,190,1000
15,900737,900737000000,0,1000,1000,966.479590602,111.528782383,870543927,998,1000,19,1000
16,791122,791122000000,0,1000,1000,947.379748003,135.06926028,749492961,1001,1000,32,1000
17,1188864,1188864000000,0,1000,1000,929.288392953,156.534203142,1104797516,1001,1000,42,999
18,77522,77522000000,0,651,651,236.59023245,162.823218544,18340948,652,195,651,197
19,106992,106992000000,0,342,342,62.7234933453,63.8330603927,6710912,339,8,334,41
20,115244,115244000000,0,1000,1000,434.649118392,336.925027407,50090703,1001,998,0,331
21,53319,53319000000,0,837,837,151.787674187,130.580960409,8093167,766,10,515,131
22,12273,12273000000,0,172,172,48.6162307504,30.7604301255,596667,155,49,150,44
23,18189,18189000000,0,221,221,66.6295563253,40.749632108,1211925,214,26,182,59
24,32030,32030000000,0,644,644,250.875304402,187.574079275,8035536,645,9,518,238
25,137554,137554000000,0,1000,1000,461.448536575,285.720895942,63474092,1001,999,926,415
