FID_WDPA_O,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,SUPP_INFO,CONS_OBJ,FID_strong,FID_stro_1,OBJECTID,SCAPENAME,PROGRAM,COUNTRY,TYPE,WCS_SH,Reason,CONTINENT,sq_km
4,6,6,1,Los Glaciares,Los Glaciares,Parque Nacional,National Park,National,II,Not Applicable,Designated,1937,Federal or national ministry or agency,Not Reported,Administraci├│n de Parques Nacionales,https://sib.gob.ar/archivos/PG_PN_LOS_GLACIARES_2019-2029__1_.pdf,State Verified,1935,AR-Z,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,155
5,7,7,1,Lan├¡n,Lan├¡n,Parque Nacional,National Park,National,II,Not Applicable,Designated,1937,Federal or national ministry or agency,Not Reported,Administraci├│n de Parques Nacionales,https://sib.gob.ar/archivos/PlanGestionPNLanin.pdf,State Verified,1935,AR-Q,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,2179
6,8,8,1,Los Alerces,Los Alerces,Parque Nacional,National Park,National,II,Not Applicable,Designated,1937,Federal or national ministry or agency,Not Reported,Administraci├│n de Parques Nacionales,https://sib.gob.ar/archivos/PG_Los_Alerces.pdf,State Verified,1935,AR-U,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,1885
12,17,17,1,Lago Puelo,Lago Puelo,Parque Nacional,National Park,National,II,Not Applicable,Designated,1937,Federal or national ministry or agency,Not Reported,Administraci├│n de Parques Nacionales,https://sib.gob.ar/archivos/PLAN_DE_GESTION_PN_LAGO_PUELO_2019_2029.pdf,State Verified,1935,AR-U,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,177
14,19,19,1,Laguna Blanca,Laguna Blanca,Parque Nacional,National Park,National,II,Not Applicable,Designated,1940,Federal or national ministry or agency,Not Reported,Administraci├│n de Parques Nacionales,https://sib.gob.ar/archivos/PG_PN_Laguna_Blanca.pdf,State Verified,1935,AR-Q,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,3
15,20,20,1,Lihu├® Calel,Lihu├® Calel,Parque Nacional,National Park,National,II,Not Applicable,Designated,1976,Federal or national ministry or agency,Not Reported,Administraci├│n de Parques Nacionales,Not Reported,State Verified,1935,AR-L,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,108
17,22,22,1,Los Arrayanes,Los Arrayanes,Parque Nacional,National Park,National,II,Not Applicable,Designated,1971,Federal or national ministry or agency,Not Reported,Administraci├│n de Parques Nacionales,https://sib.gob.ar/archivos/PG_PNNH_2019.pdf,State Verified,1935,AR-Q,ARG,ARG,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,18
64,88,88,1,Vicente P├®rez Rosales,Vicente P├®rez Rosales,Parque Nacional,National Park,National,II,Not Applicable,Designated,1926,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PN%20Vicente%20Perez%20Rosales.pdf,State Verified,1808,CL-LL,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,2478
65,89,89,1,Torres del Paine,Torres del Paine,Parque Nacional,National Park,National,II,Not Applicable,Designated,1959,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/P.N.%20%20Torres%20del%20Paine%20%20%202007.PDF,State Verified,1808,CL-MA,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,13
66,90,90,1,Puyehue,Puyehue,Parque Nacional,National Park,National,II,Not Applicable,Designated,1941,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20PN%20Puyehue.pdf,State Verified,1808,CL-LL,CHL,CHL,Not Applicable,Not Applicable,113,116,0,,,,,0,,South America,1147
