FID_wwf_re,REALM,sq_km,FID_strong,OBJECTID,SCAPENAME,PROGRAM,COUNTRY,TYPE,INTACTWILD,HIGHIMPORT,Name,Region,WCS_SH,Reason,sq_km
0,,11955716,14,15,,,Canada,,0,,,Boreal,0,,45130
0,,11955716,16,17,,,Canada,,0,,,Boreal,1,,6452
0,,11955716,17,18,,,Canada,,0,,,Boreal,1,,14851
0,,11955716,42,66,,Asia,China,J,0,,Changtang,Temperate Asia,1,"Political, Financial",24616
0,,11955716,43,67,,Asia,"Kyrgyzstan, Tajikistan, China, Pakistan",A+B,0,,"Upper Syr Darya River Basin, Tian Shan Mountains, Upper Amu Darya River Basin, Greater Pamirs",Temperate Asia,1,Limitations in B: Financial,18964
0,,11955716,52,85,,,"India, Nepal y Bhutan",,0,,Himalayas,South Asia,0,,30021
0,,11955716,107,0,,,Iran,,0,,,,0,,2
1,AA,9227515,92,0,,,Indonesia,,0,,,,0,,112715
1,AA,9227515,94,0,,,Indonesia,,0,,,,0,,57851
1,AA,9227515,106,0,,,,,0,,,,0,,518310
1,AA,9227515,119,0,Solomon Islands,,,,0,,Bismarck-Solomon,,1,,80826
3,AT,21657240,0,1,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Terrestrial,6,Y,Greater Virunga,Central Africa,1,,21367
3,AT,21657240,1,2,Greater Salonga,Africa,DRC,Terrestrial,5,Y,Salonga,Central Africa,0,,114551
3,AT,21657240,2,3,Greater Mbam Djerem,Africa,Cameroon,Terrestrial,7,Y,Mbam-Mpim-Dengdeng,Central Africa,1,,37708
3,AT,21657240,3,4,West Central Africa Rainforest,Africa,Congo,Terrestrial,6,Y,Conkouati,Central Africa,1,,250
3,AT,21657240,4,5,Northwest DRC Rainforest,Africa,DRC,Terrestrial,4,N,Maringa-Lopori,Central Africa,0,,90329
3,AT,21657240,5,6,Greater Cross River,Africa,"Cameroon, Nigeria",Terrestrial,4,N,Cross River-Takamanda,Central Africa,1,,23992
3,AT,21657240,6,7,Greater Chinko/Garamba/Southern,Africa,DRC,Terrestrial,4,N,Bili-Uere,Central Africa,0,,8
3,AT,21657240,7,8,Greater Upemba,Africa,DRC,Terrestrial,2,N,Upemba-Kundelungu,Central Africa,0,,20935
3,AT,21657240,8,9,Greater Chinko/Garamba/Southern,Africa,DRC,Terrestrial,8,Y,Garamba,Central Africa,0,,2
3,AT,21657240,9,10,West Central Africa Rainforest,Africa,Multiple,Terrestrial,6,Y,Atlantic Coast,Central Africa,1,,49900
3,AT,21657240,10,11,Oku-Kahuzi-Kabobo,Africa,DRC,Terrestrial,5,Y,Eastern DRC,Central Africa,1,,198110
3,AT,21657240,11,12,East Central Africa Rainforest,Africa,DRC,Terrestrial,6,Y,Lomami-Tshuapa,Central Africa,0,,36595
3,AT,21657240,12,13,West Central Africa Rainforest,Africa,Multiple,Terrestrial,6,y,Guineo-Congolian inland forests,Central Africa,1,,429647
3,AT,21657240,13,14,Guinea-Congo-Sudanian Transition,Africa,Multiple,Terrestrial,5,Y,Guinea-Congo-Sudanian transition,Central Africa,1,,63528
3,AT,21657240,26,40,Greater Zakouma-Bamingui-Manovo,,Chad y Central African Republic,,0,,Bamingui-Bangoran / Manovo-Gounda,Sudano-Sahel,1,,177873
3,AT,21657240,27,41,Savannas of the Eastern Sahel,,South Sudan y Ethiopia,,0,,Boma-Jonglei-Equatoria - Gambella-Omo,Sudano-Sahel,1,,287169
3,AT,21657240,28,42,Greater Chinko/Garamba/Southern,,Congo y Central African Republic,,0,,Bili-Uere - Zemongo,Sudano-Sahel,0,,91443
3,AT,21657240,29,43,Greater Chinko/Garamba/Southern,,South Sudan y Congo,,0,,Southern-Lantoto - Garamba,Sudano-Sahel,0,,81195
3,AT,21657240,37,60,Kigosi-Moyowosi,,Tanzania,,0,,Moyowosi-Kigosi,East Africa West Indian Ocean,0,"Others, financial",26837
3,AT,21657240,38,61,Greater Serengeti,,Tanzania y Kenya,,0,,Serengeti-Mara,East Africa West Indian Ocean,0,Others,146169
3,AT,21657240,39,62,Greater Ruaha Katavi,,Tanzania,,0,,Ruaha-Katavi,East Africa West Indian Ocean,1,,160176
3,AT,21657240,40,63,Niyassa-Selous,,Tanzania y Mozambique,,0,,Niassa-Selous,East Africa West Indian Ocean,1,"WCS in Niassa, Others in Selous",274515
3,AT,21657240,41,65,Madagascar Rainforest,,Madagascar,,0,,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",114830
4,IM,8499096,43,67,,Asia,"Kyrgyzstan, Tajikistan, China, Pakistan",A+B,0,,"Upper Syr Darya River Basin, Tian Shan Mountains, Upper Amu Darya River Basin, Greater Pamirs",Temperate Asia,1,Limitations in B: Financial,28404
4,IM,8499096,48,78,,,India,,0,,,South Asia,0,,57247
4,IM,8499096,49,80,,,India,,0,,,South Asia,1,,157024
4,IM,8499096,50,82,,,India,,0,,,South Asia,1,,86496
4,IM,8499096,51,84,,,Bangladesh,,0,,Sunderbans,South Asia,1,,10877
4,IM,8499096,52,85,,,"India, Nepal y Bhutan",,0,,Himalayas,South Asia,0,,530367
4,IM,8499096,53,90,,,Cambodia,,0,,,Greater Mekong,0,,14111
4,IM,8499096,54,91,,,"Cambodia, Thailand",,0,,,Greater Mekong,1,,104587
