OBJECTID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
0,468019,944.1944265,14,912,898,346.6682101,259.3352974,162247309,898,71,14,245
1,858,1.730952841,219,847,628,710.8100233,167.7017208,609875,188,751,219,762
2,4627,9.334637293,355,393,38,373.6202723,8.307831256,1728741,39,381,355,374
3,1522,3.070524737,433,523,90,481.1103811,17.15450114,732250,88,488,433,484
4,217,0.437781779,507,535,28,519.6589862,5.362768465,112766,27,518,508,519
5,3642,7.347471152,401,439,38,410.5837452,6.006836617,1495346,37,406,439,409
6,967,1.950852445,458,676,218,570.6328852,49.80442281,551802,198,532,458,559
7,5979,12.06219935,402,546,144,459.609801,25.79607481,2748007,144,445,541,455
8,856,1.726917986,535,580,45,564.6004673,7.924686365,483298,43,572,535,565
9,606,1.222561098,518,637,119,591.2475248,29.80987253,358296,117,606,518,595
10,1906,3.845216918,489,573,84,514.3520462,12.73807442,980355,80,506,489,512
11,7996,16.13135072,149,756,607,514.2822661,105.5179914,4112201,380,420,149,506
12,1472,2.96965336,364,407,43,381.5597826,7.597497583,561656,44,377,364,380
13,17303,34.90754897,391,614,223,503.3410969,47.37469494,8709311,222,497,606,507
14,2589,5.223119938,392,507,115,437.1413673,22.48195929,1131759,111,450,393,439
15,75814,152.9492526,12,195,183,135.6572928,36.24620092,10284722,147,176,51,140
16,60685,122.4275911,31,171,140,91.57648513,18.60905375,5557319,131,79,31,90
17,52663,106.2437873,11,215,204,150.0461425,24.92902858,7901880,140,122,77,148
18,104303,210.4237462,53,221,168,140.1753833,17.67497093,14620713,96,139,53,139
22,3126,6.306478534,219,657,438,543.7597569,41.08457087,1699793,236,539,264,545
23,4320,8.715287034,370,611,241,523.5016204,61.03530397,2261527,241,592,370,533
24,4663,9.407264685,471,674,203,511.7904782,27.87993273,2386479,176,497,471,505
30,2100,4.236597864,273,647,374,487.6990476,45.55147689,1024168,256,459,273,480
31,507,1.02283577,326,652,326,592.2741617,34.81449548,300283,124,620,326,597
32,745,1.502983528,481,709,228,588.7114094,59.31928117,438590,190,543,481,564
33,1287,2.596429262,378,709,331,569.2097902,96.86023284,732573,319,689,378,592
38,5904,11.91089228,95,200,105,131.7142615,22.79380205,777641,106,123,197,124
40,7252,14.63038462,339,443,104,387.6525097,24.16472909,2811256,105,376,443,386
41,11646,23.4949613,172,608,436,443.9424695,44.06327653,5170154,238,407,173,434
42,3702,7.468516805,339,450,111,378.7733657,27.08780196,1402219,111,355,339,374
43,3282,6.621197233,395,591,196,448.1691042,39.79934111,1470891,178,414,553,433
48,162,0.326823264,41,269,228,239.2654321,36.17836357,38761,21,247,41,246
49,969,1.9548873,191,231,40,200.3632611,6.540193432,194152,29,194,216,199
50,5520,11.1362001,40,502,462,407.3673913,42.4992134,2248668,185,405,40,403
51,3363,6.784608865,103,526,423,439.0520369,59.61263073,1476532,207,475,123,469
52,469,0.946173523,151,584,433,538.9296375,26.89031175,252758,71,518,151,533
53,1555,3.137099847,38,616,578,472.133119,85.03481959,734167,320,538,38,481
54,373,0.752500478,47,630,583,558.9356568,59.06175384,208483,107,572,47,572
60,1079,2.176804331,444,484,40,457.7534754,8.519640095,493916,41,453,484,455
61,5895,11.89273543,523,741,218,637.7916879,49.12005371,3759782,218,671,523,648
62,6493,13.09915711,180,610,430,495.1008779,32.94333543,3214690,166,481,183,490
63,11241,22.67790314,203,665,462,442.329597,67.96295495,4972227,317,373,203,434
65,4887,9.859168457,36,303,267,179.6640065,53.39648329,878018,214,105,43,178
66,39824,80.34203492,58,143,85,75.34788068,14.23131918,3000654,86,66,58,70
67,46622,94.05650743,105,349,244,186.0289134,39.75804277,8673040,245,207,105,183
68,51198,103.2882559,38,287,249,216.0160553,23.98308534,11059590,125,231,38,220
70,27422,55.32189839,176,268,92,238.4292174,16.87930974,6538206,93,249,268,242
75,67381,135.936286,85,234,149,122.541013,28.02240513,8256936,150,109,234,115
77,22600,45.59386272,128,224,96,155.4237611,17.75878275,3512577,97,143,128,150
78,2518,5.079882581,74,346,272,293.0698967,27.82071058,737950,133,295,74,295
79,158,0.318753554,324,342,18,335.2025316,5.210456252,52962,18,339,331,336
80,6528,13.16976707,51,487,436,425.5153186,33.30694682,2777764,156,415,51,426
82,3577,7.216338361,292,348,56,319.0925356,11.77795654,1141394,57,316,348,317
84,471,0.950208378,40,355,315,306.7961783,43.24591296,144501,73,315,40,315
85,37057,74.75981287,86,621,535,387.6897482,148.1670174,14366619,536,487,619,436
86,3212,6.479977304,40,176,136,143.484122,29.99548633,460871,101,169,41,154
88,723,1.458600122,45,112,67,69.44674965,7.271717115,50210,31,71,45,70
90,584,1.178177692,380,413,33,398.7380137,5.274797291,232863,29,399,380,399
91,4327,8.729409027,323,511,188,436.7640398,27.015818,1889878,179,441,323,438
92,1265,2.552045856,423,518,95,483.0727273,19.4231293,611087,88,479,423,484
93,4562,9.203504502,442,651,209,585.918676,40.33237302,2672961,191,632,442,592
96,2544,5.132335698,39,564,525,445.5113994,61.54723371,1133381,250,403,39,449
100,4702,9.48594436,442,637,195,574.1750319,36.37570666,2699771,186,563,442,576
