OBJECTID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
0,468019,944.1944265,0,59,59,8.881624464,8.596532999,4156769,59,2,54,5
1,858,1.730952841,8,26,18,18.44522145,3.787774071,15826,19,18,8,18
2,4627,9.334637293,6,10,4,8.616814351,1.15902337,39870,5,8,7,8
3,1522,3.070524737,3,11,8,7.418528252,1.390411482,11291,9,7,3,7
4,217,0.437781779,9,14,5,10.7281106,1.307473247,2328,6,11,14,11
5,3642,7.347471152,6,9,3,7.541186161,0.587795067,27465,4,8,9,8
6,967,1.950852445,9,26,17,15.47569804,2.419153771,14965,18,15,26,15
7,5979,12.06219935,2,12,10,7.838434521,1.894522864,46866,11,8,2,8
8,856,1.726917986,7,14,7,10.62383178,1.96846453,9094,8,12,14,11
9,606,1.222561098,10,17,7,13.55940594,1.841652914,8217,8,15,10,14
10,1906,3.845216918,6,15,9,12.47324239,1.360346725,23774,10,13,6,13
11,7996,16.13135072,4,28,24,12.37893947,3.399596344,98982,25,14,28,13
12,1472,2.96965336,8,13,5,10.13654891,1.099516219,14921,6,11,13,10
13,17303,34.90754897,6,17,11,10.22799515,1.712732981,176975,12,9,17,10
14,2589,5.223119938,5,17,12,10.50405562,1.997024381,27195,13,10,5,10
15,75814,152.9492526,1,4,3,2.526802438,0.655774199,191567,4,2,1,2
16,60685,122.4275911,2,13,11,2.712070528,0.791255749,164582,11,2,13,3
17,52663,106.2437873,0,4,4,2.897670091,1.004816686,152600,5,4,0,3
18,104303,210.4237462,1,11,10,2.236378628,0.701509184,233261,8,2,11,2
22,3126,6.306478534,5,30,25,12.32725528,3.69858517,38535,26,13,29,12
23,4320,8.715287034,4,25,21,10.64282407,3.210871202,45977,22,8,24,10
24,4663,9.407264685,4,13,9,6.600686253,1.711216031,30779,10,6,13,6
30,2100,4.236597864,3,34,31,16.26142857,5.016044529,34149,31,14,3,15
31,507,1.02283577,5,22,17,11.65483235,3.371359725,5909,18,15,20,12
32,745,1.502983528,3,22,19,12.50872483,4.063290115,9319,20,9,3,11
33,1287,2.596429262,6,20,14,13.64724165,3.178678935,17564,15,15,6,15
38,5904,11.91089228,1,5,4,2.846205962,1.012318689,16804,5,2,1,3
40,7252,14.63038462,6,21,15,15.14023718,3.027188318,109797,16,17,6,16
41,11646,23.4949613,8,24,16,17.1665808,1.917606298,199922,15,17,24,17
42,3702,7.468516805,6,12,6,9.195029714,1.342001995,34040,7,10,12,10
43,3282,6.621197233,9,16,7,11.74862888,1.756299607,38559,8,11,16,12
48,162,0.326823264,4,17,13,12.14814815,2.375861695,1968,11,12,4,12
49,969,1.9548873,3,25,22,10.35603715,4.834747722,10035,23,6,3,9
50,5520,11.1362001,0,12,12,6.874637681,1.588639998,37948,11,8,0,7
51,3363,6.784608865,2,11,9,7.110318168,1.713328829,23912,10,8,2,8
52,469,0.946173523,5,14,9,10.24520256,1.293580761,4805,9,11,5,11
53,1555,3.137099847,2,27,25,10.7266881,4.23268878,16680,26,12,24,11
54,373,0.752500478,2,15,13,7.337801609,2.007650914,2737,13,6,2,7
60,1079,2.176804331,13,20,7,17.89156627,1.680811748,19305,8,19,13,18
61,5895,11.89273543,14,27,13,21.39016115,2.946818107,126095,14,24,27,22
62,6493,13.09915711,4,22,18,18.08131834,1.777516889,117402,15,18,6,18
63,11241,22.67790314,7,36,29,12.33084245,3.125700305,138611,29,10,36,11
65,4887,9.859168457,4,43,39,17.55637405,8.758967096,85798,40,8,43,15
66,39824,80.34203492,3,11,8,5.333115709,1.353878621,212386,9,4,11,5
67,46622,94.05650743,6,19,13,10.90654627,2.49331749,508485,14,10,6,10
68,51198,103.2882559,2,19,17,12.74784171,1.612171931,652664,18,12,2,13
70,27422,55.32189839,9,18,9,12.04463569,1.680971231,330288,10,11,18,12
75,67381,135.936286,8,18,10,12.16914264,2.031742586,819969,11,11,18,12
77,22600,45.59386272,13,17,4,15.50526549,0.867081704,350419,5,15,13,15
78,2518,5.079882581,6,23,17,17.73788721,2.50836611,44664,17,16,6,17
79,158,0.318753554,20,22,2,20.85443038,0.69196061,3295,3,21,22,21
80,6528,13.16976707,5,46,41,22.8861826,5.407398278,149401,40,22,7,22
82,3577,7.216338361,11,19,8,14.391669,1.760806463,51479,9,14,19,14
84,471,0.950208378,5,21,16,14.2462845,2.228664352,6710,16,15,5,15
85,37057,74.75981287,5,44,39,21.30577219,8.497742518,789528,40,24,44,23
86,3212,6.479977304,0,15,15,6.322229141,3.066687848,20307,16,6,15,6
88,723,1.458600122,5,11,6,5.645919779,0.837697119,4082,7,5,11,6
90,584,1.178177692,20,29,9,25.15924658,1.397276012,14693,10,24,20,25
91,4327,8.729409027,15,39,24,29.46221401,4.622659296,127483,25,31,39,30
92,1265,2.552045856,22,40,18,31.01027668,3.214697768,39228,16,34,40,32
93,4562,9.203504502,15,38,23,26.76501534,4.707491591,122102,24,25,15,27
96,2544,5.132335698,6,33,27,25.14779874,4.920133665,63976,24,26,6,26
100,4702,9.48594436,19,37,18,29.5693322,2.965593773,139035,19,30,19,30
