FID_Globa,"OBJECTID,N,10,0",SITRECID,REGION,COUNTRY,ISO3,NATNAME,INTNAME,FINCODE,SITLAT,SITLONG,IBASTATUS,KBASTATUS,AZESTATUS,SITAREA,PROTECT,NO_PA,SOURCE,DELTXT,DELGEOM,CREATEDBY,ADDEDBY,ADDEDDATE,CHANGEBY,CHANGEDATE,TRIGGERS,FID_strong,OBJECTID_1,SCAPENAME,PROGRAM,COUNTRY_1,Name,Region_1,WCS_SH,Reason,sq_km
9525,0,24763,South America,Chile,CHL,Parque Nacional Vicente P├®rez Rosales,Parque Nacional Vicente P├®rez Rosales,CL072,-41.1050744695,-72.1390393035,confirmed,,,250093,whole,2,WDPA - 2010,,3. draft polygon,BirdLife International,,07/08/10,,,endemic,61,0,,,,,,0,,2454
9528,0,24794,South America,Chile,CHL,Bah├¡a Lomas,Bah├¡a Lomas,CL102,-52.6233250677,-69.108479444,confirmed,,,27672,whole,1,Google Earth - ┬┐taller?,,3. draft polygon,BirdLife International,,07/07/10,,,migratory birds/congregations,61,0,,,,,,0,,277
9529,0,24795,South America,Chile,CHL,Parque Nacional Isla Magdalena,Isla Magdalena National Park,CL103,-52.9134921047,-70.577300878,confirmed,,,85,whole,2,WDPA - 2010,Son dos pol├¡gonos.,3. draft polygon,BirdLife International,,07/08/10,,,migratory birds/congregations,61,0,,,,,,0,,1
9530,0,24803,South America,Chile,CHL,Monumento Natural Laguna de los Cisnes,Monumento Natural Laguna de los Cisnes,CL105,-53.2367140847,-70.3625957083,confirmed,,,2494,most,1,WDPA - 2010,,3. draft polygon,BirdLife International,,07/08/10,,,"CR/EN, endemic, migratory birds/congregations",61,0,,,,,,0,,25
9531,0,24807,South America,Chile,CHL,Parque Nacional Cabo de Hornos,Parque Nacional Cabo de Hornos,CL113,-55.7492652003,-67.4781775304,confirmed,,,62601,whole,2,WDPA - 2010,,3. draft polygon,BirdLife International,,07/08/10,,,endemic,61,0,,,,,,0,,626
9536,0,26911,South America,Chile,CHL,Laguna Malleco,Laguna Malleco,,-38.1359592328,-71.7788653786,confirmed,,,16521,whole,2,WDPA - 2010,Reserva Nacional; no s├® si es este sitio.,3. draft polygon,BirdLife International,,07/08/10,,,endemic,61,0,,,,,,0,,148
9537,0,27319,South America,Chile,CHL,Laguna Pollolla,Pollolla Lagoon,,-46.2800241856,-71.736201933,confirmed,,,120,little/none,0,Google Earth - Coyhaique 2009,"Pol├¡gono entra en Argentina, corregir.",3. draft polygon,BirdLife International,,07/07/10,,,other,61,0,,,,,,0,,1
9538,0,27321,South America,Chile,CHL,Valle del Estero el Salto,Estero del Salto Valley,,-45.4607313691,-72.7484015911,confirmed,,,340,little/none,0,Google Earth - Coyhaique 2009,,3. draft polygon,BirdLife International,,07/07/10,,,"endemic, other",61,0,,,,,,0,,3
9539,0,27322,South America,Chile,CHL,Humedales del R├¡o Baker,Baker River Wetlands,,-47.3232280052,-72.8460266703,confirmed,,,22542,little/none,0,Google Earth - Coyhaique 2009,,3. draft polygon,BirdLife International,,07/07/10,,,"VU, migratory birds/congregations",61,0,,,,,,0,,224
9540,0,27323,South America,Chile,CHL,Valle de Chacabuco y Entrada Baker,Chacabuco Valley and Baker River Entrance,,-47.1217411731,-72.2912580823,confirmed,,,90906,most,1,Google Earth - Coyhaique 2009,En el nombre del pol├¡gono no dec├¡a nada de Entrada Baker,3. draft polygon,BirdLife International,,07/07/10,,,VU,61,0,,,,,,0,,909
