FID_g200,G200_REGIO,G200_NUM,G200_BIOME,FID_strong,OBJECTID,SCAPENAME,PROGRAM,COUNTRY,TYPE,"INTACTWILD,N,19,11",HIGHIMPORT,Name,Region,WCS_SH,Reason,sq_km
1,Albertine Rift Montane Forests,7,1,0,1,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Terrestrial,6,Y,Greater Virunga,Central Africa,1,,9695
1,Albertine Rift Montane Forests,7,1,5,11,Oku-Kahuzi-Kabobo,Africa,DRC,Terrestrial,5,Y,Eastern DRC,Central Africa,1,,25996
1,Albertine Rift Montane Forests,7,1,22,62,Greater Ruaha Katavi,,Tanzania,,0,,Ruaha-Katavi,East Africa West Indian Ocean,1,,1144
2,Altai-Sayan Montane Forests,79,5,28,75,,,"Russia, China, Mongolia",G,0,,Daurian Steppe-Eastern Gobi,Temperate Asia,1,,103131
3,Amazon-Orinoco-Southern Caribbean Mangroves,141,14,21,54,,,"Panama, Colombia",,0,,,Mesoamerica,1,,147
4,Amazon River and Flooded Forests,147,1,59,0,,,,,0,,,,0,,393255
5,Annamite Range Moist Forests,25,1,33,91,,,"Cambodia, Thailand",,0,,,Greater Mekong,1,,207
5,Annamite Range Moist Forests,25,1,35,93,,,Laos,,0,,,Greater Mekong,1,,54559
8,Atacama-Sechura Deserts,133,13,59,0,,,,,0,,,,0,,504
11,Borneo Lowland and Montane Forests,31,1,48,0,,,Indonesia,,0,,,,0,,156564
11,Borneo Lowland and Montane Forests,31,1,49,0,,,Malaysia,,0,,,,0,,19686
11,Borneo Lowland and Montane Forests,31,1,50,0,,,Malaysia,,0,,,,0,,2370
13,Cameroon Highlands Forests,3,1,3,6,Greater Cross River,Africa,"Cameroon, Nigeria",Terrestrial,4,N,Cross River-Takamanda,Central Africa,1,,3458
13,Cameroon Highlands Forests,3,1,7,14,Guinea-Congo-Sudanian Transition,Africa,Multiple,Terrestrial,5,Y,Guinea-Congo-Sudanian transition,Central Africa,1,,4766
14,Canadian Boreal Taiga,82,6,8,17,,,Canada,,0,,,Boreal,1,,6697
14,Canadian Boreal Taiga,82,6,9,18,,,Canada,,0,,,Boreal,1,,77882
16,Cardamom Mountains Moist Forests,35,1,34,92,,,Cambodia,,0,,,Greater Mekong,1,,27987
19,Central and Eastern Miombo Woodlands,88,7,5,11,Oku-Kahuzi-Kabobo,Africa,DRC,Terrestrial,5,Y,Eastern DRC,Central Africa,1,,21763
19,Central and Eastern Miombo Woodlands,88,7,22,62,Greater Ruaha Katavi,,Tanzania,,0,,Ruaha-Katavi,East Africa West Indian Ocean,1,,128549
19,Central and Eastern Miombo Woodlands,88,7,23,63,Niyassa-Selous,,Tanzania y Mozambique,,0,,Niassa-Selous,East Africa West Indian Ocean,1,"WCS in Niassa, Others in Selous",241976
