FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
0,18474,18474000000,0,362,362,37.3334957237,33.093537436,689699,252,7,161,30
1,37707,37707000000,1,428,427,207.569337258,80.4527679834,7826817,428,42,3,224
2,5413,5413000000,34,618,584,343.818584888,112.033108057,1861090,489,446,34,376
3,23993,23993000000,1,183,182,71.6805735006,39.182322064,1719832,178,18,1,68
4,49597,49597000000,0,939,939,339.902352965,225.078106181,16858137,936,148,891,328
5,191407,191407000000,0,667,667,190.346481581,143.445861973,36433649,668,40,667,156
6,429669,429669000000,0,998,998,445.298639185,189.994402487,191331021,998,669,3,450
7,63529,63529000000,1,445,444,209.013851942,122.683329828,13278441,445,4,406,226
8,791297,791297000000,0,1000,1000,947.388126077,135.057114203,749665382,1001,1000,32,1000
9,1188864,1188864000000,0,1000,1000,929.288392953,156.534203142,1104797516,1001,1000,42,999
10,77522,77522000000,0,651,651,236.59023245,162.823218544,18340948,652,195,651,197
11,106992,106992000000,0,342,342,62.7234933453,63.8330603927,6710912,339,8,334,41
12,115244,115244000000,0,1000,1000,434.649118392,336.925027407,50090703,1001,998,0,331
13,53319,53319000000,0,837,837,151.787674187,130.580960409,8093167,766,10,515,131
14,177880,177880000000,3,1000,997,398.349758264,298.2890548,70858455,998,1000,3,337
15,286840,286840000000,0,937,937,133.186107237,122.556356171,38203103,937,35,785,101
16,3525,3525000000,3,660,657,451.254468085,210.901824992,1590672,619,656,3,549
17,130510,130510000000,0,973,973,231.682606697,151.646215468,30236897,971,296,630,217
18,80010,80010000000,0,983,983,260.424121985,210.292805726,20836534,984,7,983,210
19,11212,11212000000,1,821,820,200.78514092,176.201577809,2251203,743,5,346,181
20,38542,38542000000,0,440,440,110.307664366,97.6272713367,4251478,441,3,333,86
21,9430,9430000000,0,583,583,141.540721103,137.667794413,1334729,574,0,389,90
22,159708,159708000000,2,317,315,151.435363288,77.2180657141,24185439,315,92,311,135
23,274404,274404000000,0,992,992,198.948502937,193.409386262,54592265,993,65,0,127
24,114796,114796000000,0,368,368,90.7696870971,67.9256542582,10419997,354,18,298,74
25,811228,811228000000,8,1000,992,841.166003885,246.918845983,682377415,990,1000,8,997
26,899053,899053000000,0,1000,1000,142.291030673,185.278444912,127927178,1001,0,919,76
27,840425,840425000000,0,1000,1000,561.556558884,362.710026252,471946171,1001,1000,411,651
28,1198631,1198631000000,0,1000,1000,467.616280573,299.966611555,560499370,1001,1000,4,428
29,156805,156805000000,0,121,121,10.2916935047,14.4845048775,1613789,122,0,121,3
30,86500,86500000000,0,241,241,5.332867052,9.9884654627,461293,91,1,192,2
31,10272,10272000000,0,394,394,39.5143107477,40.3535869989,405891,210,59,90,42
32,818679,818679000000,0,991,991,196.294704029,222.671794904,160702352,992,1,918,98
33,104596,104596000000,0,948,948,165.787783472,174.858412602,17340739,948,4,826,112
34,30824,30824000000,0,779,779,204.96067999,166.83935518,6317708,778,12,607,161
35,107926,107926000000,0,970,970,156.015195597,122.357196055,16838096,916,25,565,131
36,56242,56242000000,0,244,244,71.9140499982,62.5294716642,4044590,245,3,244,57
37,112454,112454000000,0,442,442,152.362281466,94.707363034,17133748,443,199,442,145
38,40255,40255000000,0,1000,1000,587.343062974,308.108004601,23643495,1001,998,112,627
39,72097,72097000000,0,998,998,533.888330999,285.462107631,38491747,999,980,80,558
40,112651,112651000000,0,1000,1000,528.518699346,350.438910643,59538160,1001,1000,755,499
41,101615,101615000000,0,981,981,356.651655759,227.593928168,36241158,982,0,922,326
42,57628,57628000000,0,880,880,372.122336364,153.568180678,21444666,870,446,694,369
43,20464,20464000000,0,585,585,190.020132916,120.837856299,3888572,586,92,522,174
44,91863,91863000000,0,965,965,169.605978468,230.220754188,15580514,966,0,518,80
45,89424,89424000000,0,420,420,18.5765789945,28.9129141835,1661192,294,1,151,6
46,112461,112461000000,0,903,903,137.518215203,167.060755428,15465436,902,2,792,72
47,200223,200223000000,0,957,957,87.9172522637,138.988643745,17603056,958,2,881,26
48,166016,166016000000,0,996,996,553.813560139,308.684859631,91941912,997,942,0,589
49,19699,19699000000,12,904,892,449.951520382,172.189816173,8863595,814,432,23,472
50,2568,2568000000,0,640,640,317.883566978,120.452686816,816325,398,284,6,300
51,6781,6781000000,101,1000,899,878.388733225,218.981728438,5956354,551,1000,111,999
52,70880,70880000000,23,1000,977,900.698321106,178.260000867,63841497,906,1000,52,982
53,355680,355680000000,0,1000,1000,938.824015969,153.962745705,333920926,989,1000,0,1000
54,138339,138339000000,4,1000,996,886.812236607,189.750025765,122680718,948,1000,9,981
55,108460,108460000000,8,1000,992,825.164512263,234.69624331,89497343,968,1000,31,933
58,518993,518993000000,0,977,977,331.062696414,243.820395859,171819222,978,67,975,285
59,3366330,3366330000000,0,1000,1000,645.829736538,333.554549298,2174076017,1001,1000,775,669
60,500954,500954000000,0,998,998,394.188103099,241.473304675,197470107,999,87,906,375
61,1095907,1095907000000,0,1000,1000,366.507966461,272.364559295,401658646,1001,1000,892,274
62,13501,13501000000,0,200,200,25.8520109622,31.4137378475,349028,151,3,141,13
63,82033,82033000000,0,431,431,89.4087379469,76.8280778474,7334467,428,27,391,52
