FID_WDPA_O,WDPAID,WDPA_PID,NAME,ORIG_NAME,DESIG_ENG,DESIG_TYPE,IUCN,INT_CRIT,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,SUPP_INFO,CONS_OBJ,SCAPENAME,PROGRAM,COUNTRY,Region,sq_km
4,6,6,Los Glaciares,Los Glaciares,National Park,National,II,Not Applicable,Designated,1937,Federal or national ministry or agency,Not Reported,Administraci├│n de Parques Nacionales,https://sib.gob.ar/archivos/PG_PN_LOS_GLACIARES_2019-2029__1_.pdf,State Verified,1935,AR-Z,ARG,ARG,Not Applicable,Not Applicable,,,,,155
5,7,7,Lan├¡n,Lan├¡n,National Park,National,II,Not Applicable,Designated,1937,Federal or national ministry or agency,Not Reported,Administraci├│n de Parques Nacionales,https://sib.gob.ar/archivos/PlanGestionPNLanin.pdf,State Verified,1935,AR-Q,ARG,ARG,Not Applicable,Not Applicable,,,,,2179
6,8,8,Los Alerces,Los Alerces,National Park,National,II,Not Applicable,Designated,1937,Federal or national ministry or agency,Not Reported,Administraci├│n de Parques Nacionales,https://sib.gob.ar/archivos/PG_Los_Alerces.pdf,State Verified,1935,AR-U,ARG,ARG,Not Applicable,Not Applicable,,,,,1885
12,17,17,Lago Puelo,Lago Puelo,National Park,National,II,Not Applicable,Designated,1937,Federal or national ministry or agency,Not Reported,Administraci├│n de Parques Nacionales,https://sib.gob.ar/archivos/PLAN_DE_GESTION_PN_LAGO_PUELO_2019_2029.pdf,State Verified,1935,AR-U,ARG,ARG,Not Applicable,Not Applicable,,,,,177
14,19,19,Laguna Blanca,Laguna Blanca,National Park,National,II,Not Applicable,Designated,1940,Federal or national ministry or agency,Not Reported,Administraci├│n de Parques Nacionales,https://sib.gob.ar/archivos/PG_PN_Laguna_Blanca.pdf,State Verified,1935,AR-Q,ARG,ARG,Not Applicable,Not Applicable,,,,,3
15,20,20,Lihu├® Calel,Lihu├® Calel,National Park,National,II,Not Applicable,Designated,1976,Federal or national ministry or agency,Not Reported,Administraci├│n de Parques Nacionales,Not Reported,State Verified,1935,AR-L,ARG,ARG,Not Applicable,Not Applicable,,,,,108
17,22,22,Los Arrayanes,Los Arrayanes,National Park,National,II,Not Applicable,Designated,1971,Federal or national ministry or agency,Not Reported,Administraci├│n de Parques Nacionales,https://sib.gob.ar/archivos/PG_PNNH_2019.pdf,State Verified,1935,AR-Q,ARG,ARG,Not Applicable,Not Applicable,,,,,18
64,88,88,Vicente P├®rez Rosales,Vicente P├®rez Rosales,National Park,National,II,Not Applicable,Designated,1926,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/PN%20Vicente%20Perez%20Rosales.pdf,State Verified,1808,CL-LL,CHL,CHL,Not Applicable,Not Applicable,,,,,2478
65,89,89,Torres del Paine,Torres del Paine,National Park,National,II,Not Applicable,Designated,1959,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/P.N.%20%20Torres%20del%20Paine%20%20%202007.PDF,State Verified,1808,CL-MA,CHL,CHL,Not Applicable,Not Applicable,,,,,13
66,90,90,Puyehue,Puyehue,National Park,National,II,Not Applicable,Designated,1941,Federal or national ministry or agency,State,Corporaci├│n Nacional Forestal (CONAF),http://bdrnap.mma.gob.cl/recursos/SINIA/PlandeManejo/Plan%20de%20Manejo%20PN%20Puyehue.pdf,State Verified,1808,CL-LL,CHL,CHL,Not Applicable,Not Applicable,,,,,1147
