FID_wwf_re,REALM,sq_km,FID_strong,OBJECTID,SCAPENAME,PROGRAM,COUNTRY,TYPE,"INTACTWILD,11",HIGHIMPORT,Name,Region,WCS_SH,Reason,sq_km
0,,11955716,8,17,,,Canada,,0,,,Boreal,1,,6452
0,,11955716,9,18,,,Canada,,0,,,Boreal,1,,14851
0,,11955716,25,66,,Asia,China,J,0,,Changtang,Temperate Asia,1,"Political, Financial",24616
0,,11955716,26,67,,Asia,"Kyrgyzstan, Tajikistan, China, Pakistan",A+B,0,,"Upper Syr Darya River Basin, Tian Shan Mountains, Upper Amu Darya River Basin, Greater Pamirs",Temperate Asia,1,Limitations in B: Financial,18964
0,,11955716,32,85,,,"India, Nepal y Bhutan",,0,,Himalayas,South Asia,0,,30021
1,AA,9227515,46,0,,,Indonesia,,0,,,,0,,112715
1,AA,9227515,58,0,,,,,0,,,,0,,518310
1,AA,9227515,63,0,Solomon Islands,,,,0,,Bismarck-Solomon,,1,,80826
3,AT,21657240,0,1,Northern Albertine Rift,Africa,"DRC, Rwanda, Uganda",Terrestrial,6,Y,Greater Virunga,Central Africa,1,,21367
3,AT,21657240,1,3,Greater Mbam Djerem,Africa,Cameroon,Terrestrial,7,Y,Mbam-Mpim-Dengdeng,Central Africa,1,,37708
3,AT,21657240,2,4,West Central Africa Rainforest,Africa,Congo,Terrestrial,6,Y,Conkouati,Central Africa,1,,250
3,AT,21657240,3,6,Greater Cross River,Africa,"Cameroon, Nigeria",Terrestrial,4,N,Cross River-Takamanda,Central Africa,1,,23992
3,AT,21657240,4,10,West Central Africa Rainforest,Africa,Multiple,Terrestrial,6,Y,Atlantic Coast,Central Africa,1,,49900
3,AT,21657240,5,11,Oku-Kahuzi-Kabobo,Africa,DRC,Terrestrial,5,Y,Eastern DRC,Central Africa,1,,198110
3,AT,21657240,6,13,West Central Africa Rainforest,Africa,Multiple,Terrestrial,6,y,Guineo-Congolian inland forests,Central Africa,1,,429647
3,AT,21657240,7,14,Guinea-Congo-Sudanian Transition,Africa,Multiple,Terrestrial,5,Y,Guinea-Congo-Sudanian transition,Central Africa,1,,63528
3,AT,21657240,14,40,Greater Zakouma-Bamingui-Manovo,,Chad y Central African Republic,,0,,Bamingui-Bangoran / Manovo-Gounda,Sudano-Sahel,1,,177873
3,AT,21657240,15,41,Savannas of the Eastern Sahel,,South Sudan y Ethiopia,,0,,Boma-Jonglei-Equatoria - Gambella-Omo,Sudano-Sahel,1,,287169
3,AT,21657240,22,62,Greater Ruaha Katavi,,Tanzania,,0,,Ruaha-Katavi,East Africa West Indian Ocean,1,,160176
3,AT,21657240,23,63,Niyassa-Selous,,Tanzania y Mozambique,,0,,Niassa-Selous,East Africa West Indian Ocean,1,"WCS in Niassa, Others in Selous",274515
3,AT,21657240,24,65,Madagascar Rainforest,,Madagascar,,0,,Madagascar,East Africa West Indian Ocean,1," We work in Makira, Masoala is an expansion site. Others work in rest of stronghold.",114830
4,IM,8499096,26,67,,Asia,"Kyrgyzstan, Tajikistan, China, Pakistan",A+B,0,,"Upper Syr Darya River Basin, Tian Shan Mountains, Upper Amu Darya River Basin, Greater Pamirs",Temperate Asia,1,Limitations in B: Financial,28404
4,IM,8499096,29,80,,,India,,0,,,South Asia,1,,157024
4,IM,8499096,30,82,,,India,,0,,,South Asia,1,,86496
4,IM,8499096,31,84,,,Bangladesh,,0,,Sunderbans,South Asia,1,,10877
4,IM,8499096,32,85,,,"India, Nepal y Bhutan",,0,,Himalayas,South Asia,0,,530367
4,IM,8499096,33,91,,,"Cambodia, Thailand",,0,,,Greater Mekong,1,,104587
4,IM,8499096,34,92,,,Cambodia,,0,,,Greater Mekong,1,,30840
4,IM,8499096,35,93,,,Laos,,0,,,Greater Mekong,1,,107933
4,IM,8499096,36,96,,,Myanmar,,0,,,Greater Mekong,1,,59728
4,IM,8499096,37,100,,,Myanmar y Thailand,,0,,,Greater Mekong,1,,112453
4,IM,8499096,44,0,,,Malaysia,,0,,,,0,,62744
4,IM,8499096,45,0,,,Philippines,,0,,,,0,,89304
4,IM,8499096,47,0,,,Indonesia,,0,,,,0,,200765
4,IM,8499096,48,0,,,Indonesia,,0,,,,0,,166043
4,IM,8499096,49,0,,,Malaysia,,0,,,,0,,19686
4,IM,8499096,50,0,,,Malaysia,,0,,,,0,,2569
5,NA,20491302,8,17,,,Canada,,0,,,Boreal,1,,792029
5,NA,20491302,9,18,,,Canada,,0,,,Boreal,1,,1158470
5,NA,20491302,38,0,,,USA y Canada,,0,,Crown of the Continent,,0,,40214
5,NA,20491302,39,0,,,USA,,0,,Greater Yellowstone,,0,,72111
5,NA,20491302,40,0,,,USA,,0,,Selmon-Selway Willderness,,0,,112688
5,NA,20491302,41,0,,,USA,,0,,Greater Gila,,0,,101628
5,NA,20491302,42,0,,,USA y Canada,,0,,Missouri Grasslands,,0,,57605
5,NA,20491302,43,0,,,USA y M├®xico,,0,,3,,0,,20463
5,NA,20491302,54,0,,,USA,,0,,,Arctic Beringia,0,,136093
6,NT,19308843,10,22,,,Panam├í y Colombia,,0,,Choc├│-Dari├®n,AAO,1,,56866
6,NT,19308843,11,23,,,Colombia,,0,,Central Andes,AAO,1,,105373
6,NT,19308843,12,24,,,Colombia,,0,,Orinoqu├¡a,AAO,1,,115259
6,NT,19308843,13,30,,,Colombia y Ecuador,,0,,South-Choc├│,AAO,0,,53358
6,NT,19308843,16,48,,,Cuba,,0,,,Mesoamerica,1,,3638
6,NT,19308843,17,50,,,"Mexico, Belize",,0,,Maya Forest and Coast,Mesoamerica,1,,130560
6,NT,19308843,18,51,,,"Honduras, Nicaragua",,0,,,Mesoamerica,1,,81451
6,NT,19308843,19,52,,,"Nicaragua, Costa Rica",,0,,,Mesoamerica,1,,10993
6,NT,19308843,20,53,,,"Cost Rica, Panama",,0,,,Mesoamerica,1,,38511
6,NT,19308843,21,54,,,"Panama, Colombia",,0,,,Mesoamerica,1,,9404
6,NT,19308843,59,0,,,,,0,,,,0,,3366254
6,NT,19308843,60,0,,,,,0,,,,0,,500931
6,NT,19308843,61,0,,,,,0,,,,0,,1098607
7,OC,46899,62,0,Fiji,,,,0,,Fiji Stronghold,,1,,16880
8,PA,52849857,25,66,,Asia,China,J,0,,Changtang,Temperate Asia,1,"Political, Financial",786571
8,PA,52849857,26,67,,Asia,"Kyrgyzstan, Tajikistan, China, Pakistan",A+B,0,,"Upper Syr Darya River Basin, Tian Shan Mountains, Upper Amu Darya River Basin, Greater Pamirs",Temperate Asia,1,Limitations in B: Financial,858038
8,PA,52849857,27,68,,Asia,"Russia, China",F,0,,Northeast Asia Tiger Stronghold,Temperate Asia,1,,839822
8,PA,52849857,28,75,,,"Russia, China, Mongolia",G,0,,Daurian Steppe-Eastern Gobi,Temperate Asia,1,,1198566
8,PA,52849857,32,85,,,"India, Nepal y Bhutan",,0,,Himalayas,South Asia,0,,258383
8,PA,52849857,55,0,,,Russian,,0,,,Arctic Beringia,0,,109806
3,AT,21657240,2,4,West Central Africa Rainforest,Africa,Congo,Terrestrial,6,Y,Conkouati,Central Africa,1,,5152
3,AT,21657240,4,10,West Central Africa Rainforest,Africa,Multiple,Terrestrial,6,Y,Atlantic Coast,Central Africa,1,,5152
3,AT,21657240,4,10,West Central Africa Rainforest,Africa,Multiple,Terrestrial,6,Y,Atlantic Coast,Central Africa,1,,9
3,AT,21657240,6,13,West Central Africa Rainforest,Africa,Multiple,Terrestrial,6,y,Guineo-Congolian inland forests,Central Africa,1,,9
4,IM,8499096,32,85,,,"India, Nepal y Bhutan",,0,,Himalayas,South Asia,0,,116
4,IM,8499096,36,96,,,Myanmar,,0,,,Greater Mekong,1,,116
4,IM,8499096,44,0,,,Malaysia,,0,,,,0,,29171
4,IM,8499096,50,0,,,Malaysia,,0,,,,0,,29171
5,NA,20491302,41,0,,,USA,,0,,Greater Gila,,0,,0
5,NA,20491302,43,0,,,USA y M├®xico,,0,,3,,0,,0
5,NA,20491302,53,0,,,USA,,0,,,Arctic Beringia,0,,353029
5,NA,20491302,56,0,,,USA,,0,,,Arctic Beringia,0,,353029
6,NT,19308843,10,22,,,Panam├í y Colombia,,0,,Choc├│-Dari├®n,AAO,1,,30
6,NT,19308843,11,23,,,Colombia,,0,,Central Andes,AAO,1,,30
6,NT,19308843,10,22,,,Panam├í y Colombia,,0,,Choc├│-Dari├®n,AAO,1,,0
6,NT,19308843,13,30,,,Colombia y Ecuador,,0,,South-Choc├│,AAO,0,,0
6,NT,19308843,10,22,,,Panam├í y Colombia,,0,,Choc├│-Dari├®n,AAO,1,,20613
6,NT,19308843,21,54,,,"Panama, Colombia",,0,,,Mesoamerica,1,,20613
6,NT,19308843,11,23,,,Colombia,,0,,Central Andes,AAO,1,,1587
6,NT,19308843,59,0,,,,,0,,,,0,,1587
8,PA,52849857,51,0,,,Russian,,0,,,Arctic Beringia,0,,7600
8,PA,52849857,57,0,,,Russian,,0,,,Arctic Beringia,0,,7600
8,PA,52849857,52,0,,,Russian,,0,,,Arctic Beringia,0,,70157
8,PA,52849857,55,0,,,Russian,,0,,,Arctic Beringia,0,,70157
5,NA,20491302,9,18,,,Canada,,0,,,Boreal,1,,15463
5,NA,20491302,53,0,,,USA,,0,,,Arctic Beringia,0,,15463
5,NA,20491302,56,0,,,USA,,0,,,Arctic Beringia,0,,15463
