FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
0,858,1.7309528415,219,847,628,710.81002331,167.701720839,609875,188,751,219,762
1,1522,3.0705247374,433,523,90,481.110381078,17.1545011387,732250,88,488,433,484
2,219,0.4418166344,49,535,486,517.470319635,32.1800412546,113326,29,518,49,519
3,967,1.9508524449,458,676,218,570.632885212,49.8044228136,551802,198,532,458,559
4,2008,4.0509945287,489,573,84,514.005478088,12.7088320558,1032123,80,506,489,512
5,7996,16.131350723,149,756,607,514.282266133,105.517991423,4112201,380,420,149,506
6,17303,34.9075489695,391,614,223,503.34109692,47.374694936,8709311,222,497,606,507
7,2589,5.2231199377,392,507,115,437.141367323,22.4819592887,1131759,111,450,393,439
8,57796,116.59924292,10,215,205,138.128417192,45.455952264,7983270,152,11,16,144
9,104397,210.613384371,51,221,170,140.132053603,17.796064723,14629366,105,139,60,139
10,3307,6.6716329216,39,657,618,520.90625945,108.864834286,1722637,277,539,40,543
11,4320,8.7152870339,370,611,241,523.50162037,61.03530397,2261527,241,592,370,533
12,4663,9.407264685,471,674,203,511.790478233,27.8799327331,2386479,176,497,471,505
13,2181,4.4000094956,46,647,601,481.187528657,61.5702157878,1049470,291,459,47,479
14,7252,14.6303846227,339,443,104,387.652509653,24.1647290875,2811256,105,376,443,386
15,11646,23.4949612957,172,608,436,443.942469517,44.0632765297,5170154,238,407,173,434
16,321,0.6475942449,40,269,229,147.242990654,101.519377196,47265,26,41,49,190
17,6091,12.2881512323,35,502,467,375.561648334,110.838802434,2287546,210,37,44,399
18,3675,7.4140462615,35,526,491,412.96244898,111.609738948,1517637,240,475,98,465
19,559,1.1277420028,36,584,548,462.835420394,180.117914363,258725,80,36,151,529
20,1886,3.8048683671,35,616,581,405.716861082,175.029415501,765182,348,35,42,463
21,616,1.2427353734,36,630,594,372.340909091,251.49747749,229362,138,36,43,553
22,6493,13.0991571091,180,610,430,495.100877868,32.943335426,3214690,166,481,183,490
23,11241,22.6779031362,203,665,462,442.329597011,67.96295495,4972227,317,373,203,434
24,5183,10.4563270132,36,303,267,172.019872661,60.9949263824,891579,217,36,43,171
25,39824,80.3420349166,58,143,85,75.347880675,14.231319176,3000654,86,66,58,70
26,46622,94.0565074297,105,349,244,186.028913389,39.7580427746,8673040,245,207,105,183
27,51944,104.793256873,27,287,260,213.6557639,31.3869244885,11098135,162,231,44,219
28,67381,135.936286026,85,234,149,122.541013045,28.0224051306,8256936,150,109,234,115
29,6665,13.4461546484,38,487,449,418.827756939,59.4576491526,2791487,182,415,63,425
30,3584,7.2304603541,292,348,56,319.071986607,11.7761798423,1143554,57,316,348,317
31,590,1.190282257,31,357,326,271.406779661,96.2885350804,160130,115,313,35,313
32,37060,74.7658651569,86,621,535,387.686157582,148.161631477,14367649,536,487,619,436
33,4327,8.7294090268,323,511,188,436.76403975,27.0158179987,1889878,179,441,323,438
34,1282,2.5863421244,46,518,472,480.855694228,34.3601906512,616457,95,479,46,483
35,4562,9.2035045021,442,651,209,585.918676019,40.3323730172,2672961,191,632,442,592
36,3930,7.9284902878,29,564,535,307.222391858,199.037963332,1207384,297,31,49,408
37,4702,9.4859443596,442,637,195,574.175031901,36.3757066603,2699771,186,563,442,576
38,2427,4.8962966739,212,258,46,240.470951792,11.4076919471,583623,46,254,212,243
39,3982,8.0333965206,236,260,24,248.282521346,4.0429376601,988661,25,250,236,248
40,6343,12.796542976,227,251,24,237.788428189,4.4008525149,1508292,25,238,251,238
41,4915,9.9156564287,251,318,67,285.731027467,15.9398310307,1404368,68,287,318,287
42,3450,6.9601250618,214,241,27,228.255942029,5.9256505345,787483,28,226,241,227
43,970,1.9569047275,283,344,61,306.549484536,15.6834052669,297353,62,295,283,303
44,3711,7.4866736535,42,625,583,557.29021827,39.0219639626,2068104,183,550,44,558
45,6894,13.9081455583,39,355,316,174.053089643,124.909490045,1199922,190,40,53,227
46,4847,9.778471355,42,339,297,281.307406643,60.1825740967,1363497,88,293,48,294
47,9300,18.7620762536,37,568,531,443.531182796,152.458218481,4124840,154,40,37,496
48,6697,13.5107123302,320,480,160,390.574436315,29.3013749747,2615677,161,397,473,388
49,791,1.5957851953,336,551,215,420.690265487,53.946303722,332766,190,378,336,413
50,99,0.1997253279,444,616,172,474.909090909,18.5783032513,47016,37,471,444,474
51,4110,8.2916272476,12,44,32,19.7243309002,6.5431129988,81067,25,17,20,17
52,8340,16.8253458016,22,81,59,49.8595923261,10.8309695777,415829,43,30,37,53
53,42196,85.127373075,12,124,112,75.6058868139,20.9888359078,3190266,92,71,27,73
54,16054,32.3877819544,24,137,113,77.6897346456,31.3270597845,1247231,68,28,40,94
55,14533,29.3192746445,11,74,63,53.4262712448,17.1571842268,776444,57,15,11,59
58,21501,43.3767098418,42,300,258,213.77233617,35.026534611,4596319,187,202,51,214
59,136773,275.929618864,133,912,779,696.750696409,148.523654655,95296683,780,770,912,739
60,22203,44.7929439849,150,490,340,352.360221592,68.8833621156,7823454,338,396,150,378
61,68083,137.352520169,26,208,182,120.92022972,33.1993633347,8232612,176,125,29,123
62,8427,17.0008619988,42,112,70,47.210157826,7.6198295649,397840,53,46,52,45
63,26891,54.2506443587,37,200,163,57.1013350192,35.3274691888,1535512,135,44,53,44
