FID_wwf_te,OBJECTID,PERIMETER,ECO_NAME,REALM,BIOME,ECO_NUM,ECO_ID,ECO_SYM,GBL_STAT,G200_REGIO,G200_NUM,G200_BIOME,G200_STAT,eco_code,PER_area,PER_area_1,PER_area_2,FID_strong,OBJECTID_1,SCAPENAME,PROGRAM,COUNTRY,TYPE,INTACTWILD,HIGHIMPORT,Name,Region,WCS_SH,Reason,sq_km
122,922,0.319,Belizian pine forests,NT,3,2,60302,57,1,,0,0,0,NT0302,0,0,0,17,50,,,"Mexico, Belize",,0,,Maya Forest and Coast,Mesoamerica,1,,37
123,923,0.228,Pet├®n-Veracruz moist forests,NT,1,54,60154,74,1,,0,0,0,NT0154,0,0,0,17,50,,,"Mexico, Belize",,0,,Maya Forest and Coast,Mesoamerica,1,,32
126,926,0.174,Belizian pine forests,NT,3,2,60302,57,1,,0,0,0,NT0302,0,0,0,17,50,,,"Mexico, Belize",,0,,Maya Forest and Coast,Mesoamerica,1,,18
130,930,0.335,Belizian pine forests,NT,3,2,60302,57,1,,0,0,0,NT0302,0,0,0,17,50,,,"Mexico, Belize",,0,,Maya Forest and Coast,Mesoamerica,1,,73
139,1103,1.035,Mesoamerican Gulf-Caribbean mangroves,NT,14,3,61403,119,2,,0,0,0,NT1403,0,0,0,18,51,,,"Honduras, Nicaragua",,0,,,Mesoamerica,1,,227
148,1179,0.554,Mesoamerican Gulf-Caribbean mangroves,NT,14,3,61403,119,2,,0,0,0,NT1403,0,0,0,18,51,,,"Honduras, Nicaragua",,0,,,Mesoamerica,1,,113
156,1278,0.292,Mesoamerican Gulf-Caribbean mangroves,NT,14,3,61403,119,2,,0,0,0,NT1403,0,0,0,19,52,,,"Nicaragua, Costa Rica",,0,,,Mesoamerica,1,,33
159,1281,7.138,Costa Rican seasonal moist forests,NT,1,19,60119,75,1,,0,0,0,NT0119,0,0,0,20,53,,,"Cost Rica, Panama",,0,,,Mesoamerica,1,,117
162,1618,0.297,Northern Andean p├íramo,NT,10,6,61006,42,3,Northern Andean P├íramo,108,10,0,NT1006,0,0,0,10,22,,,Panam├í y Colombia,,0,,Choc├│-Dari├®n,AAO,1,,47
172,1769,0.433,South American Pacific mangroves,NT,14,5,61405,119,2,South American Pacific mangroves,142,14,0,NT1405,0,0,0,10,22,,,Panam├í y Colombia,,0,,Choc├│-Dari├®n,AAO,1,,69
223,154,0.576,Yucat├ín moist forests,NT,1,81,60181,75,2,,0,0,0,NT0181,0,0,0,17,50,,,"Mexico, Belize",,0,,Maya Forest and Coast,Mesoamerica,1,,117
233,164,0.583,Mesoamerican Gulf-Caribbean mangroves,NT,14,3,61403,119,2,,0,0,0,NT1403,0,0,0,18,51,,,"Honduras, Nicaragua",,0,,,Mesoamerica,1,,82
236,167,1.465,Miskito pine forests,NT,3,6,60306,36,2,,0,0,0,NT0306,0,0,0,18,51,,,"Honduras, Nicaragua",,0,,,Mesoamerica,1,,1332
240,171,0.592,Miskito pine forests,NT,3,6,60306,36,2,,0,0,0,NT0306,0,0,0,18,51,,,"Honduras, Nicaragua",,0,,,Mesoamerica,1,,184
264,195,0.763,Cuban wetlands,NT,9,2,60902,45,1,,0,0,0,NT0902,0,0,0,16,48,,,Cuba,,0,,,Mesoamerica,1,,108
271,202,0.078,Cuban dry forests,NT,2,13,60213,86,1,,0,0,0,NT0213,0,0,0,16,48,,,Cuba,,0,,,Mesoamerica,1,,5
308,239,0.316,Mesoamerican Gulf-Caribbean mangroves,NT,14,3,61403,119,2,,0,0,0,NT1403,0,0,0,17,50,,,"Mexico, Belize",,0,,Maya Forest and Coast,Mesoamerica,1,,26
313,244,2.87,Talamancan montane forests,NT,1,67,60167,74,3,Talamancan-Isthmian Pacific Forests,38,1,0,NT0167,0,0,0,20,53,,,"Cost Rica, Panama",,0,,,Mesoamerica,1,,182
339,782,0.444,Mesoamerican Gulf-Caribbean mangroves,NT,14,3,61403,119,2,,0,0,0,NT1403,0,0,0,17,50,,,"Mexico, Belize",,0,,Maya Forest and Coast,Mesoamerica,1,,48
341,784,0.161,Mesoamerican Gulf-Caribbean mangroves,NT,14,3,61403,119,2,,0,0,0,NT1403,0,0,0,17,50,,,"Mexico, Belize",,0,,Maya Forest and Coast,Mesoamerica,1,,6
360,1459,0.113,Valdivian temperate forests,NT,4,4,60404,53,1,Valdivian Temperate Rain Forests / Juan Fern├índez Islands,76,4,0,NT0404,0,0,0,61,0,,,,,0,,,,0,,5
362,1461,0.754,Mesoamerican Gulf-Caribbean mangroves,NT,14,3,61403,119,2,,0,0,0,NT1403,0,0,0,20,53,,,"Cost Rica, Panama",,0,,,Mesoamerica,1,,51
363,1462,0.166,Isthmian-Atlantic moist forests,NT,1,29,60129,399,2,,0,0,0,NT0129,0,0,0,20,53,,,"Cost Rica, Panama",,0,,,Mesoamerica,1,,16
366,1465,0.128,Mesoamerican Gulf-Caribbean mangroves,NT,14,3,61403,119,2,,0,0,0,NT1403,0,0,0,21,54,,,"Panama, Colombia",,0,,,Mesoamerica,1,,1
381,1662,0.772,South American Pacific mangroves,NT,14,5,61405,119,2,South American Pacific mangroves,142,14,0,NT1405,0,0,0,10,22,,,Panam├í y Colombia,,0,,Choc├│-Dari├®n,AAO,1,,176
385,1788,0.302,Northern Andean p├íramo,NT,10,6,61006,42,3,Northern Andean P├íramo,108,10,0,NT1006,0,0,0,11,23,,,Colombia,,0,,Central Andes,AAO,1,,36
388,1791,2.767,South American Pacific mangroves,NT,14,5,61405,119,2,South American Pacific mangroves,142,14,0,NT1405,0,0,0,13,30,,,Colombia y Ecuador,,0,,South-Choc├│,AAO,0,,884
392,1795,2.283,Northern Andean p├íramo,NT,10,6,61006,42,3,Northern Andean P├íramo,108,10,0,NT1006,0,0,0,11,23,,,Colombia,,0,,Central Andes,AAO,1,,776
393,1796,0.406,Northern Andean p├íramo,NT,10,6,61006,42,3,Northern Andean P├íramo,108,10,0,NT1006,0,0,0,13,30,,,Colombia y Ecuador,,0,,South-Choc├│,AAO,0,,75
396,1799,6.62,Pantepui,NT,1,69,60169,61,3,Guianan Highlands Moist Forests,45,1,0,NT0169,0,0,0,59,0,,,,,0,,,,0,,2
400,1804,86.458,Uatuma-Trombetas moist forests,NT,1,73,60173,245,3,,0,0,0,NT0173,0,0,0,59,0,,,,,0,,,,0,,59760
402,2330,0.71,Iquitos varze├í,NT,1,28,60128,70,2,Amazon River and Flooded Forests,147,1,0,NT0128,0,0,0,59,0,,,,,0,,,,0,,55
403,2331,0.174,Iquitos varze├í,NT,1,28,60128,70,2,Amazon River and Flooded Forests,147,1,0,NT0128,0,0,0,59,0,,,,,0,,,,0,,15
404,2332,0.189,Iquitos varze├í,NT,1,28,60128,70,2,Amazon River and Flooded Forests,147,1,0,NT0128,0,0,0,59,0,,,,,0,,,,0,,25
405,2333,0.295,Iquitos varze├í,NT,1,28,60128,70,2,Amazon River and Flooded Forests,147,1,0,NT0128,0,0,0,59,0,,,,,0,,,,0,,29
406,2334,0.148,Iquitos varze├í,NT,1,28,60128,70,2,Amazon River and Flooded Forests,147,1,0,NT0128,0,0,0,59,0,,,,,0,,,,0,,14
407,2335,2.948,Iquitos varze├í,NT,1,28,60128,70,2,Amazon River and Flooded Forests,147,1,0,NT0128,0,0,0,59,0,,,,,0,,,,0,,781
409,2337,4.716,Iquitos varze├í,NT,1,28,60128,70,2,Amazon River and Flooded Forests,147,1,0,NT0128,0,0,0,59,0,,,,,0,,,,0,,1468
410,2338,0.47,Iquitos varze├í,NT,1,28,60128,70,2,Amazon River and Flooded Forests,147,1,0,NT0128,0,0,0,59,0,,,,,0,,,,0,,32
411,2339,0.551,Juru├í-Purus moist forests,NT,1,33,60133,245,3,Southwestern Amazonian Moist Forests,47,1,0,NT0133,0,0,0,59,0,,,,,0,,,,0,,187
412,2340,0.136,Iquitos varze├í,NT,1,28,60128,70,2,Amazon River and Flooded Forests,147,1,0,NT0128,0,0,0,59,0,,,,,0,,,,0,,5
413,2341,70.871,Ucayali moist forests,NT,1,74,60174,69,2,Napo Moist Forests,43,1,0,NT0174,0,0,0,59,0,,,,,0,,,,0,,88620
414,2342,0.175,Iquitos varze├í,NT,1,28,60128,70,2,Amazon River and Flooded Forests,147,1,0,NT0128,0,0,0,59,0,,,,,0,,,,0,,6
415,2343,0.103,Iquitos varze├í,NT,1,28,60128,70,2,Amazon River and Flooded Forests,147,1,0,NT0128,0,0,0,59,0,,,,,0,,,,0,,7
416,2344,0.152,Iquitos varze├í,NT,1,28,60128,70,2,Amazon River and Flooded Forests,147,1,0,NT0128,0,0,0,59,0,,,,,0,,,,0,,10
417,2345,0.127,Iquitos varze├í,NT,1,28,60128,70,2,Amazon River and Flooded Forests,147,1,0,NT0128,0,0,0,59,0,,,,,0,,,,0,,5
418,2346,0.207,Iquitos varze├í,NT,1,28,60128,70,2,Amazon River and Flooded Forests,147,1,0,NT0128,0,0,0,59,0,,,,,0,,,,0,,11
419,3363,0.75,Magellanic subpolar forests,NT,4,2,60402,76,3,,0,0,0,NT0402,0,0,0,61,0,,,,,0,,,,0,,90
422,3366,2.151,Magellanic subpolar forests,NT,4,2,60402,76,3,,0,0,0,NT0402,0,0,0,61,0,,,,,0,,,,0,,276
423,3367,0.343,Magellanic subpolar forests,NT,4,2,60402,76,3,,0,0,0,NT0402,0,0,0,61,0,,,,,0,,,,0,,44
424,3368,0.463,Magellanic subpolar forests,NT,4,2,60402,76,3,,0,0,0,NT0402,0,0,0,61,0,,,,,0,,,,0,,29
426,3370,0.76,Magellanic subpolar forests,NT,4,2,60402,76,3,,0,0,0,NT0402,0,0,0,61,0,,,,,0,,,,0,,169
427,3371,0.487,Magellanic subpolar forests,NT,4,2,60402,76,3,,0,0,0,NT0402,0,0,0,61,0,,,,,0,,,,0,,73
428,3372,1.749,Magellanic subpolar forests,NT,4,2,60402,76,3,,0,0,0,NT0402,0,0,0,61,0,,,,,0,,,,0,,333
429,3373,0.828,Magellanic subpolar forests,NT,4,2,60402,76,3,,0,0,0,NT0402,0,0,0,61,0,,,,,0,,,,0,,132
433,3377,0.155,Magellanic subpolar forests,NT,4,2,60402,76,3,,0,0,0,NT0402,0,0,0,61,0,,,,,0,,,,0,,8
434,3378,0.315,Magellanic subpolar forests,NT,4,2,60402,76,3,,0,0,0,NT0402,0,0,0,61,0,,,,,0,,,,0,,26
436,3380,0.209,Magellanic subpolar forests,NT,4,2,60402,76,3,,0,0,0,NT0402,0,0,0,61,0,,,,,0,,,,0,,17
437,3381,0.269,Magellanic subpolar forests,NT,4,2,60402,76,3,,0,0,0,NT0402,0,0,0,61,0,,,,,0,,,,0,,25
438,3382,0.839,Magellanic subpolar forests,NT,4,2,60402,76,3,,0,0,0,NT0402,0,0,0,61,0,,,,,0,,,,0,,92
