OBJECTID,ECO_NAME,REALM,"BIOME,N",ECO_NUM,ECO_ID,ECO_SYM,GBL_STAT,G200_REGIO,G200_NUM,G200_BIOME,G200_STAT,eco_code,PER_area,PER_area_1,PER_area_2,sq_km
1,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,30
2,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,12
3,Sinaloan dry forests,NT,2,28,60228,98,1,Southern Mexican Dry Forests,56,2,1,NT0228,0,0,0,77301
4,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,215
5,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,20
6,Everglades,NT,9,4,60904,59,2,Everglades Flooded Grasslands,100,9,0,NT0904,0,0,0,19867
7,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,51
8,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,10
9,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,9
10,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,113
11,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,51
12,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,91
13,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,17
14,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,414
15,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,49
16,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,217
17,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,633
18,Everglades,NT,9,4,60904,59,2,Everglades Flooded Grasslands,100,9,0,NT0904,0,0,0,21
19,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,231
20,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,7
21,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,232
22,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,18
23,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,8
24,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,8
25,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,7
26,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,20
27,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,9
28,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,7
29,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,22
30,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,659
31,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,9
32,Everglades,NT,9,4,60904,59,2,Everglades Flooded Grasslands,100,9,0,NT0904,0,0,0,33
33,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,14
34,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,17
35,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,6
36,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,14
37,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,9
38,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,52
39,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,18
40,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,14
41,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,681
42,South Florida rocklands,NT,1,64,60164,68,1,,0,0,0,NT0164,0,0,0,638
43,South Florida rocklands,NT,1,64,60164,68,1,,0,0,0,NT0164,0,0,0,1075
44,Everglades,NT,9,4,60904,59,2,Everglades Flooded Grasslands,100,9,0,NT0904,0,0,0,12
45,Everglades,NT,9,4,60904,59,2,Everglades Flooded Grasslands,100,9,0,NT0904,0,0,0,9
46,Everglades,NT,9,4,60904,59,2,Everglades Flooded Grasslands,100,9,0,NT0904,0,0,0,46
47,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,19
48,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,11
49,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,321
50,Everglades,NT,9,4,60904,59,2,Everglades Flooded Grasslands,100,9,0,NT0904,0,0,0,11
51,Everglades,NT,9,4,60904,59,2,Everglades Flooded Grasslands,100,9,0,NT0904,0,0,0,12
52,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,8
53,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,16
54,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,20
55,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,54
56,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,36
57,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,33
58,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,6
59,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,6
60,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,13
61,South Florida rocklands,NT,1,64,60164,68,1,,0,0,0,NT0164,0,0,0,10
62,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,20
63,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,123
64,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,40
65,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,5
66,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,11
67,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,11
68,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,241
69,South Florida rocklands,NT,1,64,60164,68,1,,0,0,0,NT0164,0,0,0,129
70,Everglades,NT,9,4,60904,59,2,Everglades Flooded Grasslands,100,9,0,NT0904,0,0,0,16
71,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,242
72,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,23
73,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,2245
74,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,6
75,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,1423
76,South Florida rocklands,NT,1,64,60164,68,1,,0,0,0,NT0164,0,0,0,6
77,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,8
78,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,23
79,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,80
80,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,43
81,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,1699
82,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,155
83,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,126
84,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,183
85,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,28
86,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,191
87,South Florida rocklands,NT,1,64,60164,68,1,,0,0,0,NT0164,0,0,0,8
88,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,21
89,South Florida rocklands,NT,1,64,60164,68,1,,0,0,0,NT0164,0,0,0,8
90,South Florida rocklands,NT,1,64,60164,68,1,,0,0,0,NT0164,0,0,0,11
91,South Florida rocklands,NT,1,64,60164,68,1,,0,0,0,NT0164,0,0,0,15
92,South Florida rocklands,NT,1,64,60164,68,1,,0,0,0,NT0164,0,0,0,6
93,South Florida rocklands,NT,1,64,60164,68,1,,0,0,0,NT0164,0,0,0,26
94,South Florida rocklands,NT,1,64,60164,68,1,,0,0,0,NT0164,0,0,0,15
95,South Florida rocklands,NT,1,64,60164,68,1,,0,0,0,NT0164,0,0,0,5
96,South Florida rocklands,NT,1,64,60164,68,1,,0,0,0,NT0164,0,0,0,15
97,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,111
98,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,69
99,South Florida rocklands,NT,1,64,60164,68,1,,0,0,0,NT0164,0,0,0,46
100,South Florida rocklands,NT,1,64,60164,68,1,,0,0,0,NT0164,0,0,0,8
101,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,13
102,South Florida rocklands,NT,1,64,60164,68,1,,0,0,0,NT0164,0,0,0,5
103,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,54
104,South Florida rocklands,NT,1,64,60164,68,1,,0,0,0,NT0164,0,0,0,21
105,South Florida rocklands,NT,1,64,60164,68,1,,0,0,0,NT0164,0,0,0,9
106,San Lucan xeric scrub,NT,13,14,61314,104,2,Sonoran-Baja Deserts,130,13,3,NT1314,0,0,0,19
107,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,8
108,South Florida rocklands,NT,1,64,60164,68,1,,0,0,0,NT0164,0,0,0,14
109,Northern Mesoamerican Pacific mangroves,NT,14,4,61404,119,1,,0,0,0,NT1404,0,0,0,110
110,San Lucan xeric scrub,NT,13,14,61314,104,2,Sonoran-Baja Deserts,130,13,3,NT1314,0,0,0,82
111,Veracruz moist forests,NT,1,76,60176,70,1,,0,0,0,NT0176,0,0,0,68649
112,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,247
326,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,37
327,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,8
328,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,13
329,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,75
330,Sierra de la Laguna dry forests,NT,2,27,60227,78,2,Southern Mexican Dry Forests,56,2,1,NT0227,0,0,0,3413
331,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,279
332,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,498
333,San Lucan xeric scrub,NT,13,14,61314,104,2,Sonoran-Baja Deserts,130,13,3,NT1314,0,0,0,544
334,Bahamian-Antillean mangroves,NT,14,2,61402,119,3,,0,0,0,NT1402,0,0,0,345
335,Bahamian pine mosaic,NT,3,1,60301,85,1,,0,0,0,NT0301,0,0,0,40
922,Belizian pine forests,NT,3,2,60302,57,1,,0,0,0,NT0302,0,0,0,37
923,Pet├®n-Veracruz moist forests,NT,1,54,60154,74,1,,0,0,0,NT0154,0,0,0,32
924,Mesoamerican Gulf-Caribbean mangroves,NT,14,3,61403,119,2,,0,0,0,NT1403,0,0,0,24
925,Leeward Islands moist forests,NT,1,34,60134,69,1,,0,0,0,NT0134,0,0,0,49
926,Belizian pine forests,NT,3,2,60302,57,1,,0,0,0,NT0302,0,0,0,18
