FID_Global,OBJECTID,SITRECID,REGION,COUNTRY,ISO3,NATNAME,INTNAME,FINCODE,SITLAT,SITLONG,IBASTATUS,KBASTATUS,AZESTATUS,SITAREA,PROTECT,NO_PA,SOURCE,DELTXT,DELGEOM,CREATEDBY,TRIGGERS,FID_WWW_ed,OBJECTID_1,NAME,at_risk,Map_number,COUNTRY_1,TYPE,CONTINENT,sq_km
9528,0,24794,South America,Chile,CHL,Bah├¡a Lomas,Bah├¡a Lomas,CL102,-52.6233250677,-69.108479444,confirmed,,,27672,whole,1,Google Earth - ┬┐taller?,,3. draft polygon,BirdLife International,migratory birds/congregations,35,40,Tierra del Fuego,,,Argentina-Chile,WCS areas of work,South America,220
9530,0,24803,South America,Chile,CHL,Monumento Natural Laguna de los Cisnes,Monumento Natural Laguna de los Cisnes,CL105,-53.2367140847,-70.3625957083,confirmed,,,2494,most,1,WDPA - 2010,,3. draft polygon,BirdLife International,"CR/EN, endemic, migratory birds/congregations",35,40,Tierra del Fuego,,,Argentina-Chile,WCS areas of work,South America,25
9531,0,24807,South America,Chile,CHL,Parque Nacional Cabo de Hornos,Parque Nacional Cabo de Hornos,CL113,-55.7492652003,-67.4781775304,confirmed,,,62601,whole,2,WDPA - 2010,,3. draft polygon,BirdLife International,endemic,35,40,Tierra del Fuego,,,Argentina-Chile,WCS areas of work,South America,379
9582,0,24730,South America,Chile,CHL,Santuario de la Naturaleza Yerba Loca,Santuario de la Naturaleza Yerba Loca,CL039,-33.3553203631,-70.2960768427,confirmed,,,43874,whole,1,Extracted from Protected Area GIS layers provided by Partner in January 2013,,3. draft polygon,"Gill Bunting, BirdLife International","VU, endemic",37,49,Mediterraneo,,,Chile,WCS areas of work,South America,321
9686,0,19404,South America,Argentina,ARG,Parque Provincial Copahue-Caviahue,Parque Provincial Copahue-Caviahue,AR223,-37.8280770754,-71.0370875041,confirmed,,,31439,whole,1,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"VU, other",33,36,Payunia - Laguna Blanca,,,Argentina,WCS areas of work,South America,123
9754,0,19482,South America,Argentina,ARG,Punta Gutierrez - Bah├¡a Camarones,Punta Gutierrez - Bah├¡a Camarones,AR242,-44.5732004772,-65.4602008719,confirmed,,,10314,little/none,1,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,VU,34,38,Valdes,,,Argentina,WCS areas of work,South America,4
9755,0,19483,South America,Argentina,ARG,Norte del Golfo San Jorge,Norte del Golfo San Jorge,AR244,-45.0430116235,-66.1218510698,confirmed,,,38198,whole,3,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"VU, migratory birds/congregations",34,38,Valdes,,,Argentina,WCS areas of work,South America,142
9803,0,19536,South America,Argentina,ARG,Reserva Provincial El Pay├®n,Reserva Provincial El Pay├®n,AR188,-36.3203784673,-68.9989391151,confirmed,,,429580,whole,1,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,VU,33,36,Payunia - Laguna Blanca,,,Argentina,WCS areas of work,South America,4296
9808,0,19541,South America,Argentina,ARG,Parque Nacional Laguna Blanca,Parque Nacional Laguna Blanca,AR226,-39.0359705651,-70.3458485002,confirmed,de-listed,de-listed,11653,whole,3,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"VU, migratory birds/congregations, other",33,36,Payunia - Laguna Blanca,,,Argentina,WCS areas of work,South America,117
9809,0,19542,South America,Argentina,ARG,Laguna de Varvarco Campos y Tapia,Laguna de Varvarco Campos y Tapia,AR219,-36.3782890433,-70.6364550951,confirmed,,,20248,little/none,0,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,VU,33,36,Payunia - Laguna Blanca,,,Argentina,WCS areas of work,South America,82
9810,0,19543,South America,Argentina,ARG,Reserva Provincial Lagunas de Epulaufquen,Reserva Provincial Lagunas de Epulaufquen,AR220,-36.8424516338,-71.0593565441,confirmed,,,14968,whole,2,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,"VU, endemic, other",33,36,Payunia - Laguna Blanca,,,Argentina,WCS areas of work,South America,14
9811,0,19544,South America,Argentina,ARG,Reserva Provincial Tromen,Reserva Provincial Tromen,AR221,-37.1315471403,-70.0633180752,confirmed,,,35417,whole,3,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,VU,33,36,Payunia - Laguna Blanca,,,Argentina,WCS areas of work,South America,354
9812,0,19545,South America,Argentina,ARG,Area Natural Protegida Auca Mahuida,Area Natural Protegida Auca Mahuida,AR222,-37.7970041998,-68.9693329849,confirmed,,,88080,whole,1,IBA Directory Process,Recieved from Partner via Regional Office,3. draft polygon,BirdLife International,VU,33,36,Payunia - Laguna Blanca,,,Argentina,WCS areas of work,South America,881
