FID_wwf_bi,BIOME,biome2,name,area,FID_www_in,FID_WWW_ed,OBJECTID,NAME_1,at_risk,Map_number,COUNTRY,TYPE,Region,FID_contin,FID_1,CONTINENT,sq_km
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,15,15,17,Kahuzi-Biega,,,DRC,WCS areas of work,Central Africa,0,1,Africa,6691
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,16,16,18,Mbam et Djerem,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,433
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,17,17,19,Oku Reserve,,,DRC,WCS areas of work,Central Africa,0,1,Africa,3525
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,18,18,20,Ituri,,,DRC,WCS areas of work,Central Africa,0,1,Africa,71102
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,19,19,21,Kabobo,,,DRC,WCS areas of work,Central Africa,0,1,Africa,2656
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,21,21,23,Ndoki-Likouala,,,Congo,WCS areas of work,Central Africa,0,1,Africa,34571
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,31,31,33,Cross River,,,"Nigeria, Cameroon",WCS areas of work,Central Africa,0,1,Africa,5311
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,32,32,34,Takamanda,,,Nigeria,WCS areas of work,Central Africa,0,1,Africa,3463
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,38,38,52,Madidi Tambopata,,,"Bolivia, Peru",WCS areas of work,AAO,5,6,South America,100988
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,39,39,53,Llanganates-Yasuni,,,Ecuador,WCS areas of work,AAO,5,6,South America,44533
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,40,40,54,Mara├▒on Ucayali,,,Peru,WCS areas of work,AAO,5,6,South America,170495
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,41,41,55,Eastern Savannas of Arauca and Vichada,,,Colombia,WCS areas of work,AAO,5,6,South America,355
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,42,42,56,Middle Magdalena Valley,,,Colombia,WCS areas of work,AAO,5,6,South America,17789
0,1,1,Tropical_and_subtropical_moist_broadleaf_forests,0,43,43,57,Western-Central Andes,,,Colombia,WCS areas of work,AAO,5,6,South America,29987
