FID_g200,G200_REGIO,G200_NUM,G200_BIOME,FID_WWW_ed,OBJECTID,NAME,at_risk,Map_number,COUNTRY,TYPE,Region,FID_1,CONTINENT,sq_km
0,Alaskan North Slope Coastal Tundra,113,11,0,2,Cape Krusenstern,n,4,USA,WCS areas of work,Arctic Beringia,4,North America,2608
0,Alaskan North Slope Coastal Tundra,113,11,1,3,Gates of the Arctic,n,12,USA,WCS areas of work,Arctic Beringia,4,North America,90
0,Alaskan North Slope Coastal Tundra,113,11,2,4,Noatak,n,6,USA,WCS areas of work,Arctic Beringia,4,North America,12683
0,Alaskan North Slope Coastal Tundra,113,11,3,5,Kobuk Valley,n,5,USA,WCS areas of work,Arctic Beringia,4,North America,7
0,Alaskan North Slope Coastal Tundra,113,11,5,7,Arctic,1002 area is,13,USA,WCS areas of work,Arctic Beringia,4,North America,9706
0,Alaskan North Slope Coastal Tundra,113,11,10,12,Teshekpuk Lake,y,11,USA,WCS areas of work,Arctic Beringia,4,North America,14401
0,Alaskan North Slope Coastal Tundra,113,11,11,13,Colville River,y,8,USA,WCS areas of work,Arctic Beringia,4,North America,8808
0,Alaskan North Slope Coastal Tundra,113,11,12,14,Utukok River,y,7,USA,WCS areas of work,Arctic Beringia,4,North America,18932
0,Alaskan North Slope Coastal Tundra,113,11,13,15,Peard Bay,y,10,USA,WCS areas of work,Arctic Beringia,4,North America,90
0,Alaskan North Slope Coastal Tundra,113,11,14,16,Kasegaluk,y,9,USA,WCS areas of work,Arctic Beringia,4,North America,145
1,Albertine Rift Montane Forests,7,1,15,17,Kahuzi-Biega,,,DRC,WCS areas of work,Central Africa,1,Africa,593
1,Albertine Rift Montane Forests,7,1,19,21,Kabobo,,,DRC,WCS areas of work,Central Africa,1,Africa,2656
2,Altai-Sayan Montane Forests,79,5,63,92,Saiga Range,,,Mongolia,"WCS areas of work, I",Temperate Asia,2,Asia,30049
3,Amazon-Orinoco-Southern Caribbean Mangroves,141,14,58,82,,,,"Panama, Colombia",Partners work here,Mesoamerica,6,South America,438
4,Amazon River and Flooded Forests,147,1,40,54,Mara├▒on Ucayali,,,Peru,WCS areas of work,AAO,6,South America,56109
4,Amazon River and Flooded Forests,147,1,45,59,Andean-Amazon piedmont of Putumayo,,,Colombia,WCS areas of work,AAO,6,South America,1200
4,Amazon River and Flooded Forests,147,1,46,61,Lower R├¡o Negro,,,Brazil,WCS areas of work,AAO,6,South America,2556
5,Annamite Range Moist Forests,25,1,79,111,,,,Laos,,Greater Mekong,2,Asia,11141
11,Borneo Lowland and Montane Forests,31,1,101,143,,,,Malaysia,,,2,Asia,4083
13,Cameroon Highlands Forests,3,1,31,33,Cross River,,,"Nigeria, Cameroon",WCS areas of work,Central Africa,1,Africa,27
14,Canadian Boreal Taiga,82,6,87,124,,,,Canada,,Northern Boreal,4,North America,5
16,Cardamom Mountains Moist Forests,35,1,77,109,,,,Cambodia,,Greater Mekong,2,Asia,645
