FID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
0,2585,2585000000,313,1000,687,953.057640232,105.426488385,2463654,233,999,313,993
1,33386,33386000000,335,1000,665,988.500389385,35.5641731859,33002074,252,1000,440,1000
2,26519,26519000000,773,1000,227,999.444096685,4.7892689342,26504258,65,1000,773,1000
3,6958,6958000000,996,1000,4,999.967950561,0.2164056687,6957777,5,1000,996,1000
4,6364,6364000000,101,1000,899,896.668290383,200.403789729,5706397,501,1000,111,999
5,79613,79613000000,345,1000,655,994.567645987,31.5815345891,79180514,344,1000,380,1000
6,12825,12825000000,349,1000,651,992.048421053,42.0600192434,12723021,192,1000,351,1000
7,93455,93455000000,4,1000,996,879.327665721,191.469013353,82177567,941,1000,9,973
8,18652,18652000000,69,1000,931,949.017692473,120.931610579,17701078,605,1000,69,998
9,13754,13754000000,64,1000,936,911.878871601,154.99902672,12541982,671,1000,77,977
10,14413,14413000000,53,1000,947,922.971761604,141.872802213,13302792,602,1000,113,988
11,8638,8638000000,127,1000,873,860.292891873,218.288647052,7431210,599,1000,139,987
12,27424,27424000000,139,1000,861,928.742415403,149.619086607,25469832,583,1000,145,1000
13,109,109000000,376,961,585,776.04587156,116.224741584,84589,57,769,376,766
14,186,186000000,974,999,25,988.607526882,8.1848106968,183881,25,994,979,993
15,6697,6697000000,7,293,286,138.09586382,77.7872078312,924828,286,40,293,156
16,4292,4292000000,18,428,410,257.405638397,85.3587254974,1104785,355,46,31,256
17,3528,3528000000,41,298,257,247.585600907,53.51060078,873482,187,296,48,260
18,72974,72974000000,3,631,628,214.290528133,147.264811686,15637637,622,17,590,182
19,8903,8903000000,3,235,232,89.4228911603,43.2079555104,796132,225,25,3,91
20,2767,2767000000,2,120,118,73.4730755331,32.4918701801,203300,119,99,22,84
21,34571,34571000000,95,669,574,644.843770791,63.7753374158,22292894,439,669,95,668
22,499,499000000,13,321,308,231.857715431,93.5227823433,115697,163,317,13,276
23,565,565000000,13,375,362,275.757522124,101.641812354,155803,182,63,31,321
24,439,439000000,62,422,360,297.551252847,106.631276603,130625,173,65,62,328
25,1190,1190000000,14,421,407,293.403361345,107.324577943,349150,265,356,45,337
26,635,635000000,8,307,299,181.149606299,93.3433150705,115030,204,57,11,208
27,1037,1037000000,48,401,353,280.319189971,94.2262984587,290691,245,365,48,314
28,734,734000000,6,268,262,94.5108991826,59.9825066779,69371,200,23,39,98
29,2086,2086000000,12,401,389,249.068552253,95.1619379673,519557,324,380,12,263
30,728,728000000,4,111,107,38.5068681319,23.4371958782,28033,101,22,4,31
31,5304,5304000000,8,120,112,66.8930995475,28.2778126529,354801,113,76,8,71
32,3451,3451000000,8,155,147,93.8522167488,29.8852661163,323884,121,116,8,101
33,78599,78599000000,0,997,997,437.605783789,244.277669402,34395377,998,519,938,450
