"FID_WDPA_O,N,10,0","WDPAID,N,19,15","WDPA_PID,C,52","PA_DEF,C,20",NAME,"ORIG_NAME,C,254","DESIG,C,254","DESIG_ENG,C,254","DESIG_TYPE,C,20","IUCN_CAT,C,20","STATUS,C,100","STATUS_YR,N,9,0","GOV_TYPE,C,254","FID_WWW_ed,N,10,0","OBJECTID,N,10,0","NAME_1,C,254","COUNTRY,C,254","TYPE,C,50","Region,C,55","CONTINENT,C,13",sq_km
14,19,19,1,Laguna Blanca,Laguna Blanca,Parque Nacional,National Park,National,II,Designated,1940,Federal or national ministry or agency,33,36,Payunia - Laguna Blanca,Argentina,WCS areas of work,Patagonia,South America,3
68,92,92,1,Cabo de Hornos,Cabo de Hornos,Parque Nacional,National Park,National,II,Designated,1945,Federal or national ministry or agency,35,40,Tierra del Fuego,Argentina-Chile,WCS areas of work,Patagonia,South America,360
1624,3371,3371,1,Golfo San Jos_¨,Golfo San Jos_¨,Reserva Natural Tur_Ástica,Tourist Nature Reserve,National,II,Designated,1974,Sub-national ministry or agency,34,38,Valdes,Argentina,WCS areas of work,Patagonia,South America,75
3263,9421,9421,1,El Morado,El Morado,Monumento Natural,Natural Monument,National,III,Designated,1995,Federal or national ministry or agency,37,49,Mediterraneo,Chile,WCS areas of work,Patagonia,South America,29
3271,9430,9430,1,Laguna de Los Cisnes,Laguna de Los Cisnes,Monumento Natural,Natural Monument,National,III,Designated,1982,Federal or national ministry or agency,35,40,Tierra del Fuego,Argentina-Chile,WCS areas of work,Patagonia,South America,17
3273,9432,9432,1,R_Áo Clarillo,R_Áo Clarillo,Reserva Nacional,National Reserve,National,IV,Designated,1982,Federal or national ministry or agency,37,49,Mediterraneo,Chile,WCS areas of work,Patagonia,South America,2
3285,9447,9447,1,R_Áo Blanco,R_Áo Blanco,Reserva Forestal,Forest Reserve,National,IV,Designated,1932,Federal or national ministry or agency,37,49,Mediterraneo,Chile,WCS areas of work,Patagonia,South America,50
3286,9448,9448,1,R_Áo Los Cipreses,R_Áo Los Cipreses,Reserva Nacional,National Reserve,National,IV,Designated,1986,Federal or national ministry or agency,37,49,Mediterraneo,Chile,WCS areas of work,Patagonia,South America,189
3730,10700,10700,1,Alberto D'Agostini,Alberto D'Agostini,Parque Nacional,National Park,National,II,Designated,1965,Federal or national ministry or agency,35,40,Tierra del Fuego,Argentina-Chile,WCS areas of work,Patagonia,South America,9678
3800,10877,10877,1,Isla de los Estados y Archipi_¨lago de A__o Nuevo,Isla de los Estados y Archipi_¨lago de A__o Nuevo,Reserva Natural Silvestre,Wilderness Nature Reserve,National,Ib,Designated,2016,Federal or national ministry or agency,35,40,Tierra del Fuego,Argentina-Chile,WCS areas of work,Patagonia,South America,396
5644,16861,16861,1,La Payunia,La Payunia,Reserva Total,Total Reserve,National,Ia,Designated,1982,Sub-national ministry or agency,33,36,Payunia - Laguna Blanca,Argentina,WCS areas of work,Patagonia,South America,6779
5647,16873,16873,1,Copahue Caviahue,Copahue Caviahue,Parque Provincial,Provincial Park,National,II,Designated,1962,Sub-national ministry or agency,33,36,Payunia - Laguna Blanca,Argentina,WCS areas of work,Patagonia,South America,121
5650,16876,16876,1,El Tromen,El Tromen,Parque Provincial,Provincial Park,National,II,Designated,1971,Sub-national ministry or agency,33,36,Payunia - Laguna Blanca,Argentina,WCS areas of work,Patagonia,South America,300
5657,16888,16888,1,Punta Loma,Punta Loma,Reserva Natural Tur_Ástica,Tourist Nature Reserve,National,IV,Designated,1967,Sub-national ministry or agency,34,38,Valdes,Argentina,WCS areas of work,Patagonia,South America,17
5658,16889,16889,1,Pen_Ánsula de Vald_¨s,Pen_Ánsula de Vald_¨s,Reserva Natural Tur_Ástica,Tourist Nature Reserve,National,VI,Designated,1983,Sub-national ministry or agency,34,38,Valdes,Argentina,WCS areas of work,Patagonia,South America,91
6545,19603,19603,1,Cabo dos Bah_Áas,Cabo dos Bah_Áas,Reserva Natural Tur_Ástica,Tourist Nature Reserve,National,IV,Designated,1973,Sub-national ministry or agency,34,38,Valdes,Argentina,WCS areas of work,Patagonia,South America,1
6550,19612,19612,1,Punta Tombo,Punta Tombo,Reserva Natural Tur_Ástica,Tourist Nature Reserve,National,IV,Designated,1972,Sub-national ministry or agency,34,38,Valdes,Argentina,WCS areas of work,Patagonia,South America,1
6553,19621,19621,1,Volc_’n Tupungato,Volc_’n Tupungato,Parque Provincial,Provincial Park,National,II,Designated,1985,Sub-national ministry or agency,37,49,Mediterraneo,Chile,WCS areas of work,Patagonia,South America,42
6795,20190,20190,1,Punta Le__n,Punta Le__n,Reserva Natural Tur_Ástica,Tourist Nature Reserve,National,Not Reported,Designated,1985,Sub-national ministry or agency,34,38,Valdes,Argentina,WCS areas of work,Patagonia,South America,3
7134,21223,21223,1,Epulauquen,Epulauquen,Reserva Provincial Tur_Ástico Forestal,Tourist and Forest Provincial Reserve,National,VI,Designated,1973,Not Reported,33,36,Payunia - Laguna Blanca,Argentina,WCS areas of work,Patagonia,South America,33
7141,21238,21238,1,Domuyo,Domuyo,_Ÿrea Natural Protegida,Protected Nature Area,National,VI,Designated,1989,Sub-national ministry or agency,33,36,Payunia - Laguna Blanca,Argentina,WCS areas of work,Patagonia,South America,931
