"FID_wwf_re,N,10,0","REALM,C,3","sq_km,N,10,0","FID_www_in,N,10,0",FID_WWW_ed,OBJECTID,NAME,at_risk,Map_number,COUNTRY,TYPE,Region,FID_contin,FID_1,CONTINENT,sq_km
0,,11955716,65,64,93,Changtang,,,China,"WCS areas of work, J",Temperate Asia,1,2,Asia,37559
0,,11955716,88,87,124,,,,Canada,,Northern Boreal,3,4,North America,603
0,,11955716,93,92,129,WAKHAN,,,Afghanistan,,,1,2,Asia,694
1,AA,9227515,70,69,100,Bismarck Forest Corridor,,,Papua New Guinea,WCS areas of work,Melanesia,1,2,Asia,8578
1,AA,9227515,71,70,101,Manus Great Central Forest,,,Papua New Guinea,WCS areas of work,Melanesia,4,5,Oceania,1562
1,AA,9227515,72,71,102,New Ireland Seascape,,,Papua New Guinea,WCS areas of work,Melanesia,4,5,Oceania,2615
1,AA,9227515,73,72,103,West-Central Solomons Land-Seascape,,,Solomon Islands,WCS areas of work,Melanesia,4,5,Oceania,4135
1,AA,9227515,105,104,146,,,,Indonesia,,,1,2,Asia,13137
3,AT,21657240,15,15,17,Kahuzi-Biega,,,DRC,WCS areas of work,Central Africa,0,1,Africa,6691
3,AT,21657240,16,16,18,Mbam et Djerem,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,4296
3,AT,21657240,17,17,19,Oku Reserve,,,DRC,WCS areas of work,Central Africa,0,1,Africa,3525
3,AT,21657240,18,18,20,Ituri,,,DRC,WCS areas of work,Central Africa,0,1,Africa,72977
3,AT,21657240,19,19,21,Kabobo,,,DRC,WCS areas of work,Central Africa,0,1,Africa,8944
3,AT,21657240,20,20,22,Yankari,,,Nigeria,WCS areas of work,Central Africa,0,1,Africa,2761
3,AT,21657240,21,21,23,Ndoki-Likouala,,,Congo,WCS areas of work,Central Africa,0,1,Africa,34571
3,AT,21657240,22,22,24,Rey Bouba,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,498
3,AT,21657240,23,23,25,Mayo-Bidjou,,,Cameroon,WCS areas of work,Central Africa,0,1,Africa,567
