OBJECTID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
0,56,0.112975943,254,760,506,659.3571429,148.5509086,36924,26,751,254,749
2,276,0.556810005,80,104,24,89.68478261,5.78966348,24753,24,84,80,89
3,3495,7.050909302,77,121,44,97.20972818,9.418565498,339748,45,94,120,97
4,2818,5.685110848,63,113,50,81.22782115,9.792230137,228900,51,86,106,82
5,716,1.444478129,85,109,24,97.25837989,4.504994082,69637,23,102,85,97
6,944,1.904451611,25,44,19,31.0434322,1.76213086,29305,11,32,25,32
7,8720,17.59196827,16,121,105,85.60825688,14.83180087,746504,57,74,16,79
8,1300,2.62265582,23,121,98,110.7146154,5.29812175,143929,21,109,23,110
9,7822,15.78031833,26,123,97,93.12234723,14.95504178,728403,49,95,32,95
10,1444,2.913165388,91,137,46,100.1218837,3.717383406,144576,21,100,91,100
11,1414,2.852642562,35,81,46,57.44130127,4.97181789,81222,24,62,35,58
12,1748,3.526463365,17,84,67,70.54748284,3.162192535,123317,15,71,57,71
13,1140,2.299867412,57,74,17,68.00438596,2.793629669,77525,17,70,57,68
14,3043,6.139032047,56,87,31,65.03253368,5.596809662,197894,31,61,85,64
15,17,0.034296268,18,74,56,64.94117647,17.72492624,1104,5,73,72,73
16,28,0.056487972,68,70,2,68.85714286,0.515078754,1928,3,69,70,69
17,271,0.546722867,455,709,254,540.4317343,66.28854757,146457,144,487,455,520
18,175,0.353049822,439,511,72,491.52,14.71824524,86016,53,503,450,496
19,140,0.282439858,420,458,38,438.4357143,9.677817577,61381,37,441,420,440
20,2949,5.949393857,503,769,266,601.8548661,45.0036353,1774870,252,605,503,599
21,371,0.748465623,157,558,401,483.8921833,43.41070978,179524,99,518,157,489
22,114,0.229986741,450,471,21,461.5087719,5.311763863,52612,22,463,450,462
23,1394,2.81229401,412,525,113,462.8708752,27.9687102,645242,113,468,412,461
24,20,0.040348551,430,437,7,433.65,2.031624965,8673,8,434,433,434
25,25,0.050435689,423,435,12,432.08,2.431789465,10802,8,432,423,432
