OBJECTID,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
0,56,0.112975943,7,23,16,17.64285714,6.639784235,988,8,23,18,20
2,276,0.556810005,2,4,2,2.358695652,0.60038976,651,3,2,4,2
3,3495,7.050909302,2,4,2,3.77167382,0.50457016,13182,3,4,2,4
4,2818,5.685110848,2,5,3,3.110007097,0.892738985,8764,4,4,5,3
5,716,1.444478129,3,5,2,4.005586592,0.298921837,2868,3,4,3,4
6,944,1.904451611,2,4,2,2.020127119,0.147785865,1907,3,2,4,2
7,8720,17.59196827,1,4,3,3.033142202,0.88705147,26449,4,4,1,3
8,1300,2.62265582,2,5,3,3.664615385,0.781405198,4764,4,3,2,3
9,7822,15.78031833,1,11,10,4.518793148,0.822430481,35346,10,5,10,5
10,1444,2.913165388,4,13,9,4.837950139,0.909354407,6986,7,4,13,5
11,1414,2.852642562,2,8,6,3.695190948,1.208652007,5225,7,3,7,4
12,1748,3.526463365,1,4,3,2.836956522,0.37554888,4959,4,3,4,3
13,1140,2.299867412,2,2,0,2,0,2280,1,2,2,2
14,3043,6.139032047,2,4,2,2.436082813,0.5024809,7413,3,2,4,2
15,17,0.034296268,2,3,1,2.882352941,0.32218974,49,2,3,2,3
16,28,0.056487972,3,3,0,3,0,84,1,3,3,3
17,271,0.546722867,11,28,17,14.43173432,3.505655465,3911,14,13,17,14
18,175,0.353049822,6,11,5,9.24,1.10044147,1617,6,10,6,10
19,140,0.282439858,11,13,2,11.98571429,0.168426087,1678,3,12,13,12
20,2949,5.949393857,7,21,14,12.81010512,2.846690765,37777,15,14,21,13
21,371,0.748465623,5,14,9,9.989218329,1.576406977,3706,9,10,5,10
22,114,0.229986741,6,8,2,7.140350877,0.456477608,814,3,7,6,7
23,1394,2.81229401,8,10,2,8.926829268,0.473498977,12444,3,9,10,9
24,20,0.040348551,9,12,3,10.8,0.979795897,216,4,11,9,11
25,25,0.050435689,8,13,5,10.96,1.038460399,274,6,11,8,11
26,16,0.032278841,10,13,3,11.125,0.78062475,178,4,11,13,11
27,49,0.09885395,9,12,3,9.959183673,0.988901342,488,4,9,12,10
28,25,0.050435689,9,9,0,9,0,225,1,9,9,9
29,46,0.092801667,11,13,2,12.17391304,0.731417558,560,3,12,11,12
30,31,0.062540254,9,12,3,10.06451613,0.668917463,312,4,10,12,10
31,85,0.171481342,11,15,4,12.44705882,0.677467296,1058,5,12,14,12
32,29,0.058505399,11,13,2,11.17241379,0.460057382,324,3,11,13,11
33,214,0.431729497,11,21,10,14.94392523,1.747263686,3198,11,14,21,15
34,138,0.278405002,9,19,10,14.81884058,1.634037887,2045,9,15,9,15
36,3986,8.041466231,0,2,2,0.80080281,0.463910123,3192,3,1,2,1
38,1234,2.489505602,1,8,7,2.021069692,1.560101238,2494,7,1,7,1
40,4063,8.196808153,1,9,8,2.18631553,1.401974553,8883,9,2,9,2
44,1161,2.34223339,6,7,1,6.483204134,0.499717819,7527,2,6,7,6
49,469,0.946173523,0,3,3,1.125799574,1.092304761,528,4,0,3,1
52,5972,12.04807735,3,19,16,13.79889484,2.772142565,82407,17,16,3,15
53,1825,3.681805286,5,27,22,13.57041096,3.015866916,24766,23,13,25,13
54,6888,13.89604099,9,22,13,14.25914634,2.880267073,98217,14,16,22,14
55,1846,3.724171265,4,13,9,7.673889491,1.938893346,14166,9,6,4,7
56,723,1.458600122,6,14,8,9.128630705,1.635970721,6600,9,8,14,9
57,1598,3.223849232,4,25,21,12.4261577,3.969437892,19857,22,8,24,13
58,1010,2.03760183,6,34,28,16.95742574,5.002293465,17127,28,12,6,16
59,875,1.76524911,13,27,14,17.13942857,2.964357741,14997,15,15,27,17
61,3027,6.106753206,9,18,9,10.84473076,2.245652369,32827,10,9,18,10
62,10562,21.30806983,6,15,9,11.14126112,1.657048386,117674,10,12,15,12
63,72,0.145254784,15,16,1,15.41666667,0.493006649,1110,2,15,16,15
64,801,1.615959471,17,22,5,20.74781523,1.245746159,16619,6,22,17,21
65,356,0.718204209,14,19,5,16.86516854,1.421670257,6004,6,18,14,17
66,317,0.639524535,14,17,3,15.35962145,0.819715952,4869,4,15,17,15
67,4027,8.124180761,6,21,15,13.75838093,3.260249817,55405,16,12,6,13
68,1716,3.461905683,6,12,6,8.344405594,1.247714996,14319,7,8,12,8
73,1620,3.268232638,2,11,9,7.714197531,1.507731813,12497,10,8,2,8
76,148,0.298579278,4,17,13,12.28378378,2.260233606,1818,11,11,5,12
80,25,0.050435689,0,8,8,5.56,2.56249878,139,4,7,0,7
81,1555,3.137099847,2,27,25,10.7266881,4.23268878,16680,26,12,24,11
82,1215,2.451174478,2,16,14,9.251851852,2.449310533,11241,15,9,2,9
86,2891,5.832383059,16,22,6,18.34313386,1.278241832,53030,7,19,22,18
87,1690,3.409452567,10,13,3,11.34260355,0.746840503,19169,4,12,13,11
88,516,1.040992618,4,42,38,27.95930233,7.061214258,14427,32,30,8,30
89,5325,10.74280173,9,13,4,11.00150235,0.656064233,58583,5,11,13,11
92,1809,3.649526445,12,18,6,14.42675511,1.067781614,26098,7,14,18,14
93,47823,96.47943792,3,11,8,4.801643561,1.110241786,229629,9,4,11,5
94,30041,60.60554115,4,19,15,12.9074598,1.763719548,387753,16,12,5,13
95,327,0.65969881,6,21,15,14.51070336,1.959617183,4745,15,15,6,15
97,1425,2.874834265,12,18,6,15.11929825,1.279177175,21545,7,16,18,15
99,2987,6.026056104,14,46,32,26.0840308,5.77087072,77913,33,22,46,25
100,350,0.706099644,3,7,4,5.391428571,1.425657027,1887,5,7,5,6
101,66,0.133150219,4,8,4,4.272727273,0.729164207,282,4,4,8,4
102,115,0.232004169,0,5,5,2.182608696,1.436073201,251,6,1,3,2
103,180,0.36313696,2,10,8,4.694444444,0.989372541,845,8,5,10,5
105,355,0.716186782,5,11,6,5.766197183,0.824953035,2047,6,6,11,6
106,81,0.163411632,26,33,7,31.13580247,1.66112476,2522,8,32,26,32
107,369,0.744430767,25,39,14,35.00542005,2.3011657,12917,14,36,25,35
108,163,0.328840691,24,37,13,32.37423313,3.071910917,5277,14,34,24,33
109,30,0.060522827,31,35,4,32.4,1.227463509,972,5,31,35,32
110,264,0.532600874,21,31,10,27.5,2.252944202,7260,11,28,22,28
111,470,0.94819095,22,38,16,31.88297872,3.41976851,14985,16,35,23,32
112,187,0.377258953,25,33,8,29.50802139,1.955026386,5518,9,31,25,30
116,226,0.455938627,24,30,6,27.75221239,1.469639493,6272,7,29,24,28
117,1252,2.525819298,21,32,11,26.14376997,2.038785543,32732,12,26,21,26
118,100,0.201742755,31,35,4,33.12,0.930376268,3312,5,33,31,33
119,384,0.774692181,17,30,13,23.10677083,3.262245518,8873,14,24,17,23
122,317,0.639524535,24,37,13,33.57728707,2.316690549,10644,13,36,24,34
123,140,0.282439858,28,34,6,32.1,1.090871211,4494,7,32,28,32
124,41351,83.42264679,1,3,2,1.81930304,0.420906351,75230,3,2,3,2
125,29973,60.46835608,1,4,3,3.18516665,0.855025613,95469,4,4,1,3
126,12010,24.22930493,0,5,5,2.749958368,1.365451098,33027,6,3,5,3
127,15453,31.17530799,0,3,3,0.452468776,0.799855125,6992,4,0,3,0
128,77,0.155341922,8,11,3,9.012987013,0.889965803,694,4,8,11,9
129,557,1.123707148,7,10,3,8.526032316,0.612368817,4749,4,9,10,9
130,100,0.201742755,8,12,4,10.27,0.858545281,1027,5,10,8,10
131,101,0.203760183,8,10,2,8.455445545,0.621794791,854,3,8,10,8
132,320,0.645576817,8,11,3,9.7375,0.987341759,3116,4,10,8,10
133,176,0.35506725,8,10,2,8.659090909,0.485853598,1524,3,9,10,9
136,71,0.143237356,8,10,2,8.774647887,0.508994676,623,3,9,10,9
138,92,0.185603335,1,33,32,5.391304348,4.262976409,496,8,5,3,5
139,983,1.983131286,7,45,38,35.13428281,3.467664124,34537,19,34,7,35
